event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,45,45,7165720,7230661,7165709,80,0,1000,0,0,5
2,46,91,6780851,6817460,7170947,65,0,999,0,0,9
3,63,154,1164700,1173766,4217967,15,8,998,2,0,6
4,56,210,8251210,8276669,5238915,75,8,997,0,0,7
5,58,268,809507,828070,3304690,10,8,997,0,0,-1
6,69,337,1227843,1262563,1897278,15,1,1000,0,0,8
7,91,428,179781,183144,795724,5,6,1005,1,0,0
8,68,496,2544669,2574645,748753,25,6,1015,0,0,12
9,43,539,6841854,6881060,942063,60,6,1015,0,0,10
10,85,624,837639,845369,605468,10,0,1018,2,0,9
11,43,667,3978714,3994793,558200,35,12,1018,2,0,10
12,74,741,83115,83592,131056,1,16,1017,2,0,8
13,84,825,4217,4569,11637,1,16,1018,0,0,5
14,78,903,1357137,1370329,7668,15,13,1016,1,0,5
15,61,964,2253618,2264722,5707,20,3,1019,2,0,5
16,82,1046,965519,968754,4666,10,1,1026,2,0,7
17,87,1133,1594823,1608627,3580,15,1,1030,0,0,6
18,35,1168,10228371,10241484,8326,85,14,1032,1,0,11
19,55,1223,1215583,1220195,3426,10,9,1031,2,0,6
20,41,1264,6601797,6617738,7513,55,4,1034,1,0,8
21,48,1312,6715654,6732303,12303,55,12,1034,1,0,16
22,57,1369,876444,879555,5240,10,1,1029,1,0,6
23,48,1417,4575067,4586843,3576,40,0,1030,2,0,7
24,73,1490,942179,950595,2330,10,2,1033,1,0,4
25,74,1564,1495343,1504509,2014,15,2,1037,2,0,2
26,74,1638,1841171,1850629,1613,15,0,1038,2,0,5
27,55,1693,2231460,2263711,1050,20,0,1040,0,0,4
28,82,1775,617683,625412,703,5,12,1040,2,0,1
29,69,1840,2694952,2702709,710,25,0,1039,2,4,9
30,52,1892,2688946,2731494,960,25,0,1044,0,0,6
31,58,1950,1917056,1927344,1064,15,70,1045,1,0,0
32,69,2019,603381,621624,621,5,18,1030,0,0,12
33,133,2152,68952,69324,229,1,26,1033,2,0,0
34,60,2212,937427,963094,244,10,26,1033,0,0,17
35,56,2268,4156291,4221349,246,35,26,1035,0,0,7
36,75,2343,4542359,4555281,374,40,20,1036,2,0,13
37,20,2363,7877360,7893070,508,65,23,1036,1,0,13
