event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,46,46,6908104,7104329,6908093,75,0,1000,0,0,3
2,43,89,7673712,7761573,7467022,75,0,1000,0,0,8
3,64,153,1004529,1025992,4389105,10,10,999,2,0,6
4,78,231,1475616,1533479,2489563,15,8,997,0,0,8
5,66,297,160173,175571,839787,5,8,1003,0,0,0
6,75,372,610365,627248,376805,10,30,1007,2,0,10
7,65,437,4977295,5024369,523453,45,8,1011,1,0,6
8,67,504,2812309,2889482,528564,25,8,1019,0,0,12
9,40,544,8044269,8182010,779087,70,8,1018,0,0,6
10,87,631,568152,586706,451663,5,1,1019,1,0,16
11,51,682,1387338,1406039,286419,15,3,1021,2,0,6
12,58,740,878429,890157,139768,10,4,1022,2,0,19
13,71,811,86318,101233,29567,1,4,1023,0,0,2
14,58,869,6865501,6959932,64087,60,4,1024,0,0,3
15,67,936,1173767,1187944,34730,10,6,1023,2,0,13
16,87,1023,521238,528077,20298,5,1,1030,3,0,3
17,80,1103,3009682,3071250,23234,25,1,1034,0,0,9
18,43,1146,6898167,6944050,29842,55,2,1034,2,0,13
19,60,1206,554594,557215,10215,5,2,1034,3,0,8
20,58,1264,1408519,1471890,7585,15,2,1035,0,0,2
21,58,1322,2880359,2990084,6945,25,2,1035,0,0,11
22,47,1369,3264671,3290147,5311,30,21,1033,2,0,10
23,53,1422,2765953,2784220,2681,25,15,1033,2,0,13
24,68,1490,1782750,1854665,2343,15,15,1036,0,0,4
25,69,1559,2884040,2913595,2758,25,20,1036,2,0,3
26,78,1637,1087549,1108372,1725,10,14,1038,1,0,5
27,57,1694,1744173,1827256,985,15,14,1039,0,0,12
28,76,1770,1299974,1323714,919,15,21,1040,1,0,0
29,61,1831,4427975,4530276,1158,35,21,1042,0,0,2
30,66,1897,307402,329338,698,5,21,1045,0,0,13
31,67,1964,536874,549893,470,5,72,1044,2,0,0
32,58,2022,2553534,2716017,524,20,10,1033,0,0,12
33,134,2156,42342,58481,173,1,35,1030,1,0,0
34,59,2215,1051813,1121763,197,10,35,1030,0,0,6
35,48,2263,7769722,7805960,315,60,12,1029,1,0,16
36,84,2347,2348441,2376599,289,20,7,1032,2,0,12
37,31,2378,3990566,4007336,227,35,4,1034,2,0,4
