h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.5127,0.993374,1.5127,0.993374,"{'att': 249, 'def': 17}","{'att': 156, 'def': 29}",10,3,2,1,1.7955,w,2023-08-12 18:00:00,1,0,0,3,0.519326
a,1.49349,0.360903,1.49349,0.360903,"{'att': 191, 'def': 18}","{'att': 220, 'def': 26}",4,3,2,2,2.3229,d,2023-08-18 19:00:00,0,1,0,1,1.132587
h,3.50896,1.72801,3.50896,1.72801,"{'att': 285, 'def': 15}","{'att': 254, 'def': 22}",14,7,2,0,2.4177999999999997,w,2023-08-26 17:00:00,1,0,0,3,1.78095
a,2.77866,0.621642,2.77866,0.621642,"{'att': 181, 'def': 19}","{'att': 311, 'def': 8}",14,4,1,1,2.682,d,2023-09-01 19:00:00,0,1,0,1,2.157018
h,1.16853,0.882315,1.16853,0.882315,"{'att': 200, 'def': 24}","{'att': 247, 'def': 16}",13,9,0,0,1.5607,d,2023-09-17 15:05:00,0,1,0,1,0.2862150000000001
a,0.568702,2.00222,0.568702,2.00222,"{'att': 483, 'def': 23}","{'att': 122, 'def': 32}",2,9,0,4,0.29869999999999997,l,2023-09-24 18:45:00,0,0,1,0,-1.4335179999999998
a,0.908767,1.5165,0.908767,1.5165,"{'att': 220, 'def': 28}","{'att': 232, 'def': 35}",4,9,2,3,0.7974999999999999,l,2023-09-30 19:00:00,0,0,1,0,-0.607733
h,3.00689,0.131369,3.00689,0.131369,"{'att': 284, 'def': 16}","{'att': 409, 'def': 20}",11,1,3,0,2.9741,w,2023-10-08 11:00:00,1,0,0,3,2.875521
a,1.00304,0.828728,1.00304,0.828728,"{'att': 354, 'def': 16}","{'att': 283, 'def': 22}",6,5,0,1,1.458,l,2023-10-21 19:00:00,0,0,1,0,0.1743119999999999
h,0.751791,0.326226,0.751791,0.326226,"{'att': 348, 'def': 22}","{'att': 265, 'def': 18}",6,5,0,0,1.7810000000000001,d,2023-11-04 20:00:00,0,1,0,1,0.42556499999999997
a,0.723678,1.21972,0.723678,1.21972,"{'att': 166, 'def': 24}","{'att': 266, 'def': 37}",4,5,0,1,0.9269000000000001,l,2023-11-12 20:45:00,0,0,1,0,-0.49604199999999987
a,1.36665,1.18208,1.36665,1.18208,"{'att': 198, 'def': 31}","{'att': 284, 'def': 24}",13,3,1,1,1.4893,d,2023-11-25 20:00:00,0,1,0,1,0.1845699999999999
h,0.91395,0.483795,0.153854,0.483795,"{'att': 275, 'def': 18}","{'att': 236, 'def': 23}",8,4,2,0,1.9194000000000002,w,2023-12-03 19:45:00,1,0,0,3,-0.329941
h,1.82709,0.235651,1.82709,0.235651,"{'att': 289, 'def': 46}","{'att': 248, 'def': 22}",8,8,3,0,2.6175,w,2023-12-06 19:00:00,1,0,0,3,1.591439
a,2.88724,2.01809,2.88724,2.01809,"{'att': 230, 'def': 20}","{'att': 264, 'def': 24}",12,8,4,2,1.9497,w,2023-12-10 19:45:00,1,0,0,3,0.8691499999999999
h,2.62654,0.131252,2.62654,0.131252,"{'att': 306, 'def': 28}","{'att': 333, 'def': 24}",12,0,2,1,2.8904,w,2023-12-17 16:05:00,1,0,0,3,2.495288
a,1.20263,1.51091,1.20263,1.51091,"{'att': 144, 'def': 26}","{'att': 274, 'def': 20}",11,5,1,1,1.0553,d,2023-12-20 20:00:00,0,1,0,1,-0.3082799999999999
h,1.56944,1.14984,1.56944,1.14984,"{'att': 302, 'def': 20}","{'att': 261, 'def': 26}",7,9,1,1,1.7181000000000002,d,2024-01-12 20:00:00,0,1,0,1,0.4196
