season_name,total_points,rank
2011/12,1998,169075
2012/13,2013,193968
2013/14,2314,64159
2014/15,2084,68646
2015/16,1945,961327
2016/17,2280,17096
2017/18,2286,20892
2018/19,2226,190563
2019/20,2197,306678
2020/21,2437,41812
2021/22,2435,223919
2022/23,2556,50392
2023/24,2483,105964
2024/25,2531,65589
