h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.00607,0.364297,2.00607,0.364297,"{'att': 171, 'def': 24}","{'att': 267, 'def': 12}",6,1,2,2,2.7083999999999997,d,2023-08-20 16:30:00,0,1,0,1,1.6417729999999997
a,2.00413,0.904461,2.00413,0.904461,"{'att': 90, 'def': 18}","{'att': 325, 'def': 19}",14,2,1,2,2.1942,l,2023-08-26 18:45:00,0,0,1,0,1.099669
h,0.412392,1.62873,0.412392,0.867431,"{'att': 407, 'def': 25}","{'att': 217, 'def': 17}",5,6,1,2,0.37070000000000003,l,2023-09-01 18:45:00,0,0,1,0,-0.45503899999999997
h,2.49292,0.166755,1.73162,0.166755,"{'att': 288, 'def': 25}","{'att': 410, 'def': 27}",6,1,7,0,2.8759,w,2023-09-17 18:45:00,1,0,0,3,1.564865
a,1.10764,1.10678,1.10764,1.10678,"{'att': 191, 'def': 11}","{'att': 340, 'def': 22}",6,2,1,1,1.3369,d,2023-09-24 18:45:00,0,1,0,1,0.0008599999999998609
a,1.29625,1.59801,1.29625,1.59801,"{'att': 147, 'def': 22}","{'att': 431, 'def': 12}",7,5,1,4,1.0894,l,2023-09-28 18:45:00,0,0,1,0,-0.30176000000000003
h,0.830718,0.791935,0.830718,0.791935,"{'att': 277, 'def': 31}","{'att': 253, 'def': 21}",8,4,2,0,1.3079,w,2023-10-01 18:45:00,1,0,0,3,0.03878300000000001
a,3.3327,1.76268,3.3327,1.00138,"{'att': 253, 'def': 14}","{'att': 196, 'def': 17}",5,8,4,1,2.4239,w,2023-10-08 16:00:00,1,0,0,3,2.33132
h,2.53278,0.423669,2.53278,0.423669,"{'att': 253, 'def': 23}","{'att': 201, 'def': 15}",15,4,1,0,2.7117000000000004,w,2023-10-22 10:30:00,1,0,0,3,2.109111
a,0.495306,2.25314,0.495306,2.25314,"{'att': 283, 'def': 9}","{'att': 203, 'def': 25}",1,11,0,1,0.2244,l,2023-10-29 17:00:00,0,0,1,0,-1.7578340000000001
h,2.55177,1.20256,1.79047,1.20256,"{'att': 173, 'def': 29}","{'att': 287, 'def': 21}",9,1,2,1,2.3265,w,2023-11-05 17:00:00,1,0,0,3,0.5879099999999999
a,0.320262,0.398131,0.320262,0.398131,"{'att': 318, 'def': 28}","{'att': 337, 'def': 17}",6,5,0,0,1.1287,d,2023-11-12 17:00:00,0,1,0,1,-0.07786900000000002
h,1.25942,0.532293,1.25942,0.532293,"{'att': 190, 'def': 24}","{'att': 373, 'def': 17}",8,1,3,1,1.9752,w,2023-11-26 17:00:00,1,0,0,3,0.727127
a,1.9994,0.916551,1.2381,0.916551,"{'att': 165, 'def': 20}","{'att': 365, 'def': 13}",9,5,2,1,2.2655,w,2023-12-03 17:00:00,1,0,0,3,0.321549
h,0.702857,0.975261,0.702857,0.975261,"{'att': 268, 'def': 16}","{'att': 190, 'def': 24}",3,6,1,1,1.0927,d,2023-12-10 19:45:00,0,1,0,1,-0.2724040000000001
a,0.566461,0.782175,0.566461,0.782175,"{'att': 364, 'def': 29}","{'att': 268, 'def': 28}",4,8,0,2,1.0735,l,2023-12-17 17:00:00,0,0,1,0,-0.21571399999999996
h,2.06895,0.44093,2.06895,0.44093,"{'att': 286, 'def': 25}","{'att': 194, 'def': 22}",6,3,2,0,2.5898000000000003,w,2023-12-23 19:45:00,1,0,0,3,1.62802
a,0.39518,1.63273,0.39518,1.63273,"{'att': 248, 'def': 16}","{'att': 322, 'def': 15}",6,7,0,1,0.3819,l,2023-12-30 19:45:00,0,0,1,0,-1.2375500000000001
h,2.58182,1.11144,1.82052,1.11144,"{'att': 224, 'def': 20}","{'att': 265, 'def': 20}",12,3,1,1,2.3832,d,2024-01-07 19:45:00,0,1,0,1,0.7090799999999999
a,1.23713,1.57355,0.475828,1.57355,"{'att': 242, 'def': 18}","{'att': 284, 'def': 18}",6,8,1,3,1.0947,l,2024-01-14 19:45:00,0,0,1,0,-1.097722
h,1.4542,1.09599,1.4542,0.334693,"{'att': 189, 'def': 22}","{'att': 407, 'def': 25}",11,4,2,1,1.6192999999999997,w,2024-01-20 17:00:00,1,0,0,3,1.119507
a,1.48834,1.42906,0.727045,1.42906,"{'att': 190, 'def': 17}","{'att': 393, 'def': 20}",4,6,2,1,1.4474,w,2024-01-29 19:45:00,1,0,0,3,-0.702015
h,3.35931,0.503174,2.59801,0.503174,"{'att': 263, 'def': 9}","{'att': 301, 'def': 23}",7,4,4,0,2.8702,w,2024-02-05 19:45:00,1,0,0,3,2.094836
h,1.00864,1.24183,1.00864,1.24183,"{'att': 307, 'def': 14}","{'att': 279, 'def': 22}",13,6,2,4,1.1098,l,2024-02-10 17:00:00,0,0,1,0,-0.23319
a,1.81853,1.62402,1.05723,1.62402,"{'att': 191, 'def': 13}","{'att': 323, 'def': 23}",3,10,3,0,1.5354999999999999,w,2024-02-18 17:00:00,1,0,0,3,-0.5667900000000001
h,1.52399,0.551839,0.762693,0.551839,"{'att': 241, 'def': 15}","{'att': 357, 'def': 19}",4,4,3,2,2.2846,w,2024-02-26 17:30:00,1,0,0,3,0.21085399999999999
