season_name,total_points,rank
2011/12,1513,1949461
2012/13,1548,1962853
2013/14,2005,1020551
2014/15,1816,1022134
2015/16,1969,819787
2016/17,2087,274957
2017/18,2326,6925
2018/19,2378,11771
2019/20,2243,152644
2020/21,2433,44945
2021/22,2546,52999
2022/23,2607,9871
2023/24,2592,4905
2024/25,2373,771696
