event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,46,46,6908104,6993146,6908093,75,0,1000,0,0,3
2,43,89,7673712,7711587,7467022,75,0,1000,0,0,8
3,64,153,1004529,1014153,4389105,10,10,999,2,0,6
4,78,231,1475616,1504104,2489563,15,8,997,0,0,8
5,66,297,160173,168107,839787,5,8,1003,0,0,0
6,75,372,610365,620300,376805,10,29,1006,2,0,10
7,65,437,4977295,5000616,523453,45,7,1010,1,0,6
8,67,504,2812309,2847289,528564,25,7,1018,0,0,12
9,42,546,7228809,7278019,718767,60,7,1017,0,0,4
10,87,633,568152,577145,412884,5,0,1018,1,0,16
11,51,684,1387338,1396862,259876,15,2,1020,2,0,6
12,55,735,1302015,1304775,183121,15,3,1018,3,4,19
13,76,811,27085,30168,30124,1,3,1019,0,0,4
14,57,868,7321235,7339041,68960,60,0,1021,1,0,3
15,60,928,2445608,2465479,54684,20,11,1023,1,0,13
16,87,1015,521238,524864,32623,5,1,1030,3,0,3
17,80,1095,3009682,3035737,36281,25,1,1034,0,0,9
18,43,1138,6898167,6922389,45695,55,2,1034,2,0,13
19,60,1198,554594,555834,16568,5,1,1033,3,0,8
20,58,1256,1408519,1436222,12175,15,1,1034,0,0,2
21,58,1314,2880359,2927628,11120,25,1,1034,0,0,11
22,47,1361,3264671,3277380,8459,30,20,1032,2,0,10
23,57,1418,1734122,1739815,3464,15,15,1033,2,0,9
24,73,1491,861867,881530,2232,10,15,1036,0,0,4
25,78,1569,803461,809834,1494,10,18,1037,2,0,3
26,68,1637,3341773,3361014,1741,30,21,1039,1,0,5
27,49,1686,4292797,4357781,1600,35,21,1039,0,0,12
28,80,1766,794066,803907,1212,10,15,1041,1,0,0
29,77,1843,1172701,1193466,576,10,15,1041,0,0,2
30,64,1907,451442,467955,381,5,15,1043,0,0,16
31,63,1970,1060399,1071929,340,10,17,1046,2,0,0
32,58,2028,2553534,2634441,382,20,11,1034,0,0,12
33,134,2162,42342,53210,117,1,36,1031,1,0,0
34,58,2220,1185939,1224274,146,10,36,1031,0,0,8
35,48,2268,7769722,7790607,242,60,13,1030,1,0,16
36,77,2345,4051703,4058622,335,35,24,1034,3,0,12
37,23,2368,6759588,6783818,402,55,9,1037,1,0,13
