name,time,event
wildcard,2025-09-12T15:59:30.188057Z,4
3xc,2025-09-26T15:00:26.648093Z,6
bboost,2025-12-01T22:05:48.805195Z,14
freehit,2025-12-06T10:16:07.568054Z,15
3xc,2026-02-09T22:17:16.966193Z,26
wildcard,2026-04-09T17:23:35.915615Z,32
bboost,2026-04-11T14:43:41.609553Z,33
freehit,2026-04-19T07:09:11.666975Z,34
