h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.06035,1.07028,2.06035,0.31018,"{'att': 256, 'def': 20}","{'att': 327, 'def': 12}",6,2,2,1,2.1475,w,2023-08-13 13:00:00,1,0,0,3,1.7501700000000002
h,1.15991,2.00415,0.399817,1.24405,"{'att': 473, 'def': 19}","{'att': 128, 'def': 19}",2,9,1,1,0.7102999999999999,d,2023-08-19 19:00:00,0,1,0,1,-0.8442330000000001
a,0.308716,2.84995,0.308716,2.84995,"{'att': 236, 'def': 35}","{'att': 369, 'def': 27}",7,2,0,2,0.0736,l,2023-08-27 13:00:00,0,0,1,0,-2.541234
h,0.64111,1.40431,0.64111,0.644213,"{'att': 334, 'def': 28}","{'att': 200, 'def': 29}",4,3,2,2,0.6414,d,2023-09-03 11:00:00,0,1,0,1,-0.003103000000000078
a,0.882315,1.16853,0.882315,1.16853,"{'att': 247, 'def': 16}","{'att': 200, 'def': 24}",9,13,0,0,1.1293,d,2023-09-17 15:05:00,0,1,0,1,-0.2862150000000001
a,0.649363,3.08782,0.649363,3.08782,"{'att': 207, 'def': 20}","{'att': 201, 'def': 30}",1,21,1,2,0.1686,l,2023-09-24 13:00:00,0,0,1,0,-2.4384569999999997
h,2.3397,0.598514,2.3397,0.598514,"{'att': 145, 'def': 20}","{'att': 379, 'def': 18}",14,4,3,0,2.6264000000000003,w,2023-10-01 13:00:00,1,0,0,3,1.7411860000000001
a,1.23903,1.61363,1.23903,1.61363,"{'att': 232, 'def': 25}","{'att': 195, 'def': 27}",10,4,1,1,1.0402,d,2023-10-08 13:00:00,0,1,0,1,-0.3745999999999998
h,0.900833,0.96583,0.900833,0.96583,"{'att': 266, 'def': 29}","{'att': 246, 'def': 29}",5,6,1,1,1.2867,d,2023-10-22 13:00:00,0,1,0,1,-0.06499699999999997
a,0.877804,3.2823,0.877804,3.2823,"{'att': 192, 'def': 20}","{'att': 287, 'def': 19}",5,6,0,3,0.1543,l,2023-10-29 14:00:00,0,0,1,0,-2.404496
h,2.31734,1.21056,1.55724,1.21056,"{'att': 254, 'def': 29}","{'att': 252, 'def': 14}",8,4,1,2,2.2278,l,2023-11-05 14:00:00,0,0,1,0,0.3466799999999999
a,0.41683,2.6899,0.41683,2.6899,"{'att': 320, 'def': 27}","{'att': 215, 'def': 23}",1,6,1,1,0.0495,d,2023-11-12 14:00:00,0,1,0,1,-2.27307
a,1.27183,1.00133,1.27183,1.00133,"{'att': 378, 'def': 31}","{'att': 240, 'def': 16}",7,3,0,1,1.5714,l,2023-11-26 12:00:00,0,0,1,0,0.27049999999999996
h,1.10351,0.645774,1.10351,0.645774,"{'att': 250, 'def': 29}","{'att': 238, 'def': 18}",10,7,1,1,1.7993,d,2023-12-03 14:00:00,0,1,0,1,0.45773600000000003
a,1.6021,3.13849,0.842005,3.13849,"{'att': 307, 'def': 26}","{'att': 263, 'def': 15}",12,9,0,3,0.3903,l,2023-12-10 16:05:00,0,0,1,0,-2.296485
h,0.686037,1.08165,0.686037,1.08165,"{'att': 250, 'def': 32}","{'att': 218, 'def': 25}",12,8,0,0,0.9278,d,2023-12-17 14:00:00,0,1,0,1,-0.395613
h,1.58928,2.26628,1.58928,1.50618,"{'att': 202, 'def': 22}","{'att': 270, 'def': 22}",3,7,1,2,0.8925,l,2023-12-20 20:00:00,0,0,1,0,0.08309999999999995
a,0.952191,0.558992,0.192095,0.558992,"{'att': 156, 'def': 25}","{'att': 327, 'def': 34}",3,2,1,0,1.8466,w,2024-01-14 14:00:00,1,0,0,3,-0.36689700000000003
h,2.4207,1.17066,1.66061,1.17066,"{'att': 242, 'def': 19}","{'att': 271, 'def': 19}",5,3,0,2,2.3351,l,2024-01-28 16:05:00,0,0,1,0,0.4899499999999999
a,1.74173,2.02418,0.981634,2.02418,"{'att': 288, 'def': 28}","{'att': 169, 'def': 24}",8,7,3,2,1.1618,w,2024-02-04 14:00:00,1,0,0,3,-1.0425459999999998
h,0.893343,0.497993,0.893343,0.497993,"{'att': 109, 'def': 21}","{'att': 363, 'def': 14}",6,2,1,2,1.6530999999999998,l,2024-02-11 14:00:00,0,0,1,0,0.39535
a,1.57778,1.69534,1.57778,1.69534,"{'att': 293, 'def': 19}","{'att': 156, 'def': 33}",5,14,2,1,1.3141,w,2024-02-18 14:00:00,1,0,0,3,-0.11756000000000011
h,1.95824,0.599376,1.19814,0.599376,"{'att': 378, 'def': 33}","{'att': 167, 'def': 20}",4,8,3,1,2.4311,w,2024-02-25 14:00:00,1,0,0,3,0.598764
h,1.50074,1.91177,1.50074,1.91177,"{'att': 352, 'def': 23}","{'att': 228, 'def': 20}",8,4,2,1,1.0407,w,2024-03-03 12:00:00,1,0,0,3,-0.41103
a,0.212288,1.2502,0.212288,1.2502,"{'att': 217, 'def': 19}","{'att': 238, 'def': 12}",4,3,0,1,0.4194,l,2024-03-10 14:00:00,0,0,1,0,-1.037912
h,2.0594,1.49785,1.2993,1.49785,"{'att': 262, 'def': 28}","{'att': 199, 'def': 20}",14,10,2,3,1.8308,l,2024-03-15 20:00:00,0,0,1,0,-0.19855
a,2.30312,0.897271,1.54303,0.897271,"{'att': 337, 'def': 25}","{'att': 247, 'def': 27}",7,1,3,0,2.4142,w,2024-03-31 14:00:00,1,0,0,3,0.6457589999999999
h,0.825103,0.582127,0.825103,0.582127,"{'att': 345, 'def': 31}","{'att': 303, 'def': 24}",6,2,0,0,1.5798,d,2024-04-07 13:00:00,0,1,0,1,0.24297600000000008
a,0.783871,0.877819,0.783871,0.877819,"{'att': 245, 'def': 20}","{'att': 221, 'def': 32}",7,12,2,1,1.2771,w,2024-04-13 19:00:00,1,0,0,3,-0.09394800000000003
h,0.654707,1.06509,0.654707,1.06509,"{'att': 320, 'def': 25}","{'att': 234, 'def': 25}",4,6,2,2,0.9129,d,2024-04-21 17:00:00,0,1,0,1,-0.41038300000000005
a,2.23471,1.3574,2.23471,1.3574,"{'att': 221, 'def': 22}","{'att': 241, 'def': 19}",10,7,2,1,2.1582,w,2024-04-28 13:00:00,1,0,0,3,0.8773100000000003
h,1.98611,0.660372,1.98611,0.660372,"{'att': 174, 'def': 29}","{'att': 246, 'def': 22}",9,2,1,2,2.3909,l,2024-05-03 17:00:00,0,0,1,0,1.325738
a,1.71089,1.50414,1.71089,1.50414,"{'att': 372, 'def': 16}","{'att': 160, 'def': 24}",9,8,3,1,1.5506,w,2024-05-12 19:00:00,1,0,0,3,0.20675
h,0.984204,1.02904,0.984204,1.02904,"{'att': 281, 'def': 14}","{'att': 291, 'def': 38}",9,6,0,3,1.3007,l,2024-05-19 19:00:00,0,0,1,0,-0.04483599999999999
