event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,57,57,3654199,3748272,3654196,40,5,1000,0,0,14
2,64,121,1689386,1710735,1551969,20,5,1001,0,0,7
3,34,155,10116820,10130667,4046717,90,8,1004,2,0,14
4,57,212,8098140,8123550,4999868,70,12,1005,1,0,6
5,29,237,10820003,10824789,6905281,95,12,1006,2,4,17
6,76,313,492341,498964,3754663,5,15,1005,0,0,8
7,83,396,716234,732745,2459387,10,15,1009,0,0,7
8,98,494,36813,37319,831273,1,10,1014,2,0,11
9,62,556,1386634,1411326,470774,15,10,1017,0,0,8
10,75,631,3115532,3134546,461896,30,1,1022,2,0,5
11,46,677,2501797,2545424,365750,25,1,1028,0,0,8
12,55,732,1248967,1261940,209983,15,4,1030,1,0,7
13,63,795,255015,263045,78111,5,4,1031,0,0,2
14,68,863,3908173,3936471,89106,35,2,1031,1,0,7
15,59,922,2748348,2762705,74685,25,13,1030,2,0,3
16,83,1005,894594,908590,55775,10,11,1031,5,0,0
17,101,1102,301348,305345,25657,5,8,1032,2,4,7
18,50,1152,3532593,3578602,22043,30,8,1035,0,0,31
19,43,1195,5157598,5174553,19867,45,14,1034,2,0,16
20,75,1270,111089,113176,5490,1,9,1032,1,0,17
21,52,1322,4956068,5012047,7204,40,9,1033,0,0,17
22,39,1361,6637718,6706236,8459,55,9,1039,0,0,24
23,53,1414,2728997,2743350,4410,25,18,1045,1,0,22
24,71,1485,1331180,1337174,3309,15,2,1045,3,0,3
25,70,1555,2320236,2365968,3570,20,2,1049,0,0,9
26,68,1623,3341773,3360790,3863,30,6,1047,1,0,5
27,41,1664,8676721,8706047,5620,70,0,1046,1,0,6
28,63,1727,3977500,3988957,10463,35,3,1046,2,0,0
29,68,1795,2881645,2895009,8385,25,16,1043,1,0,5
30,63,1858,547027,565697,6111,5,16,1046,0,0,9
31,55,1913,2545048,2558344,7688,20,0,1046,2,0,0
32,69,1982,603381,624178,4658,5,46,1034,0,0,11
33,123,2105,208856,211133,3070,5,40,1035,1,0,0
34,65,2170,506629,527203,2427,5,40,1035,0,0,8
35,68,2238,1085261,1095018,1300,10,26,1037,1,0,7
36,94,2332,725339,734581,686,10,31,1041,1,0,11
37,20,2352,7877360,7894725,936,65,0,1043,1,0,18
