name,time,event
wildcard,2025-09-12T00:50:29.443983Z,4
bboost,2025-09-20T09:44:35.487103Z,5
3xc,2025-09-27T01:57:25.460224Z,6
freehit,2025-12-26T18:18:04.658360Z,18
3xc,2026-02-10T17:41:02.907280Z,26
freehit,2026-04-17T21:47:41.667163Z,33
wildcard,2026-05-01T01:15:46.332997Z,35
bboost,2026-05-03T13:42:58.321801Z,36
