h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.737812,0.969349,0.737812,0.969349,"{'att': 166, 'def': 27}","{'att': 319, 'def': 30}",14,7,1,2,1.1181999999999999,l,2023-08-13 17:30:00,0,0,1,0,-0.231537
a,2.12458,0.370077,2.12458,0.370077,"{'att': 177, 'def': 19}","{'att': 297, 'def': 27}",7,4,1,0,2.7371,w,2023-08-18 17:30:00,1,0,0,3,1.754503
h,1.87195,2.95807,1.87195,2.95807,"{'att': 351, 'def': 24}","{'att': 219, 'def': 29}",11,20,3,4,0.731,l,2023-08-27 15:30:00,0,0,1,0,-1.0861200000000002
a,0.494033,1.97214,0.494033,1.22886,"{'att': 138, 'def': 14}","{'att': 217, 'def': 34}",2,3,1,3,0.2761,l,2023-09-01 17:30:00,0,0,1,0,-0.7348270000000001
h,1.43205,1.76794,1.43205,1.76794,"{'att': 180, 'def': 26}","{'att': 229, 'def': 13}",10,3,2,1,1.1127,w,2023-09-17 14:15:00,1,0,0,3,-0.33589
a,1.0365,1.0345,1.0365,1.0345,"{'att': 152, 'def': 27}","{'att': 276, 'def': 30}",10,14,1,1,1.3339999999999999,d,2023-09-24 14:15:00,0,1,0,1,0.0020000000000000018
h,1.89071,2.29941,1.14744,2.29941,"{'att': 244, 'def': 22}","{'att': 255, 'def': 19}",8,7,1,2,1.1285,l,2023-09-27 17:00:00,0,0,1,0,-1.15197
a,0.112227,0.768368,0.112227,0.768368,"{'att': 216, 'def': 20}","{'att': 125, 'def': 37}",3,13,0,0,0.5861000000000001,d,2023-09-30 12:00:00,0,1,0,1,-0.6561410000000001
h,1.16305,1.1602,1.16305,0.416927,"{'att': 268, 'def': 25}","{'att': 266, 'def': 28}",4,5,1,2,1.3069,l,2023-10-08 12:00:00,0,0,1,0,0.7461229999999999
h,1.71642,1.79896,0.973138,1.79896,"{'att': 118, 'def': 26}","{'att': 329, 'def': 22}",7,7,1,1,1.3195000000000001,d,2023-10-22 16:30:00,0,1,0,1,-0.825822
a,1.90197,2.80131,1.15869,2.80131,"{'att': 242, 'def': 27}","{'att': 306, 'def': 30}",4,8,3,2,0.8065,w,2023-10-30 20:00:00,1,0,0,3,-1.64262
h,1.78074,2.22797,1.78074,2.22797,"{'att': 204, 'def': 21}","{'att': 337, 'def': 34}",7,10,2,3,1.0616,l,2023-11-05 17:30:00,0,0,1,0,-0.44723
a,0.868854,3.93786,0.868854,3.93786,"{'att': 202, 'def': 9}","{'att': 381, 'def': 23}",2,14,1,3,0.0845,l,2023-11-12 20:00:00,0,0,1,0,-3.069006
h,2.84591,1.26437,2.84591,1.26437,"{'att': 277, 'def': 14}","{'att': 281, 'def': 25}",3,6,3,1,2.4933,w,2023-11-26 13:00:00,1,0,0,3,1.58154
a,1.47061,2.4784,1.47061,2.4784,"{'att': 284, 'def': 15}","{'att': 263, 'def': 14}",4,9,1,1,0.6321,d,2023-12-03 17:30:00,0,1,0,1,-1.0077900000000002
h,2.37019,2.19834,2.37019,2.19834,"{'att': 254, 'def': 22}","{'att': 212, 'def': 29}",8,2,0,3,1.5001,l,2023-12-09 17:30:00,0,0,1,0,0.17185000000000006
a,0.421986,3.22478,0.421986,3.22478,"{'att': 362, 'def': 16}","{'att': 285, 'def': 27}",2,19,1,4,0.0841,l,2023-12-17 20:00:00,0,0,1,0,-2.802794
h,2.59564,1.98503,1.85236,1.98503,"{'att': 294, 'def': 31}","{'att': 277, 'def': 27}",7,10,3,2,1.8296999999999997,w,2023-12-20 20:30:00,1,0,0,3,-0.13267000000000007
a,1.15004,2.78114,1.15004,1.29459,"{'att': 255, 'def': 19}","{'att': 289, 'def': 23}",9,4,1,3,0.3468,l,2024-01-02 20:30:00,0,0,1,0,-0.14454999999999996
a,1.71198,0.963955,1.71198,0.963955,"{'att': 349, 'def': 24}","{'att': 227, 'def': 29}",5,8,0,3,1.9097,l,2024-01-13 13:00:00,0,0,1,0,0.748025
h,1.7328,0.430539,1.7328,0.430539,"{'att': 214, 'def': 20}","{'att': 207, 'def': 24}",7,2,1,1,2.3904,d,2024-01-20 15:15:00,0,1,0,1,1.302261
a,2.36875,2.02779,2.36875,2.02779,"{'att': 339, 'def': 20}","{'att': 137, 'def': 23}",5,15,5,3,1.6676,w,2024-01-27 17:30:00,1,0,0,3,0.34095999999999993
h,1.00089,0.686978,1.00089,0.686978,"{'att': 176, 'def': 29}","{'att': 255, 'def': 22}",21,4,0,0,1.5937000000000001,d,2024-02-04 13:00:00,0,1,0,1,0.3139120000000001
a,1.29002,2.09111,1.29002,2.09111,"{'att': 188, 'def': 18}","{'att': 188, 'def': 15}",12,4,1,1,0.7944999999999999,d,2024-02-10 13:00:00,0,1,0,1,-0.8010900000000001
h,1.61961,0.976893,1.61961,0.976893,"{'att': 148, 'def': 18}","{'att': 265, 'def': 25}",9,1,1,1,1.8732000000000002,d,2024-02-16 20:00:00,0,1,0,1,0.642717
a,1.6421,1.48985,1.6421,1.48985,"{'att': 323, 'def': 19}","{'att': 133, 'def': 30}",4,3,3,1,1.4866,w,2024-02-23 20:00:00,1,0,0,3,0.15225
h,3.02991,0.276758,3.02991,0.276758,"{'att': 278, 'def': 17}","{'att': 261, 'def': 23}",5,7,5,1,2.8918,w,2024-03-03 13:00:00,1,0,0,3,2.753152
a,1.30814,1.39975,1.30814,1.39975,"{'att': 321, 'def': 20}","{'att': 281, 'def': 24}",5,7,3,2,1.2821000000000002,w,2024-03-10 20:00:00,1,0,0,3,-0.09160999999999997
h,2.1872,1.07722,1.44392,1.07722,"{'att': 227, 'def': 18}","{'att': 294, 'def': 23}",10,5,1,0,2.2142999999999997,w,2024-03-17 15:15:00,1,0,0,3,0.3667
h,0.681964,1.2402,0.681964,1.2402,"{'att': 269, 'def': 29}","{'att': 277, 'def': 27}",12,8,1,2,0.8832,l,2024-04-01 19:00:00,0,0,1,0,-0.558236
a,2.1913,0.823044,0.704746,0.823044,"{'att': 255, 'def': 19}","{'att': 254, 'def': 25}",8,9,1,1,2.4476000000000004,d,2024-04-14 16:30:00,0,1,0,1,-0.11829800000000001
a,1.60008,2.14538,1.60008,2.14538,"{'att': 313, 'def': 24}","{'att': 252, 'def': 19}",6,6,2,1,1.0057,w,2024-04-21 14:15:00,1,0,0,3,-0.5452999999999999
h,1.98091,0.896929,1.98091,0.896929,"{'att': 306, 'def': 21}","{'att': 255, 'def': 24}",2,3,3,0,2.165,w,2024-04-28 16:30:00,1,0,0,3,1.083981
