name,time,event
bboost,2025-10-23T22:20:38.527309Z,9
freehit,2025-11-29T12:05:40.452601Z,13
wildcard,2025-12-02T16:57:07.008051Z,14
3xc,2025-12-19T17:19:21.239964Z,17
wildcard,2026-04-10T00:46:17.310045Z,32
bboost,2026-04-17T20:54:55.470307Z,33
freehit,2026-04-23T23:28:49.960323Z,34
3xc,2026-05-09T07:56:42.309868Z,36
