event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,42,42,7826128,7854672,7826116,85,0,1000,0,0,4
2,38,80,8927235,8942627,8467312,85,0,999,0,0,8
3,67,147,633226,636418,5411878,10,0,999,2,0,3
4,77,224,1678057,1694664,3353635,15,0,999,0,0,10
5,53,277,1965772,1977680,2357819,20,0,1000,1,0,7
6,74,347,696358,702494,1329869,10,25,1001,2,4,4
7,77,424,1763930,1775724,967449,15,17,1001,1,0,5
8,77,501,953721,959583,617669,10,10,1006,1,0,6
9,45,546,6325728,6336909,733529,55,4,1006,1,0,2
10,79,625,1928138,1939975,594142,20,4,1004,1,0,6
11,48,673,2073187,2086180,442038,20,2,1003,1,0,14
12,75,748,68398,68803,91496,1,1,1001,1,0,5
13,65,813,198189,203068,26470,5,0,1004,0,0,15
14,75,888,1957548,1968385,21498,20,1,1005,1,0,7
15,63,951,1792084,1800802,14028,15,9,1014,1,0,16
16,87,1038,515146,515534,7918,5,5,1026,1,0,0
17,97,1135,513845,517692,3134,5,9,1031,1,0,11
18,60,1195,1178868,1179384,1413,10,12,1030,5,0,3
19,32,1227,10049517,10076020,2678,80,12,1031,0,0,11
20,83,1310,19714,20054,349,1,12,1031,0,0,5
21,57,1367,3395272,3409106,364,30,10,1031,1,0,8
22,44,1411,4552912,4556450,361,40,25,1030,3,0,17
23,27,1438,12065078,12074253,968,95,25,1035,0,0,20
24,91,1529,22488,22802,174,1,13,1034,2,0,9
25,62,1591,5199384,5226041,375,45,13,1039,0,0,7
26,57,1648,7250051,7257278,903,60,0,1040,2,0,7
27,45,1693,6188421,6227349,1066,50,0,1040,0,0,5
28,101,1794,7449,7621,226,1,20,1039,2,0,0
29,58,1852,5450685,5459156,340,45,8,1040,1,0,14
30,63,1915,547027,558014,245,5,8,1044,0,0,17
31,66,1981,633987,637686,196,5,6,1044,1,0,2
32,76,2057,214890,215811,78,5,9,1044,2,0,6
33,96,2153,1298048,1309981,213,15,9,1043,0,0,36
34,52,2197,2214923,2217834,579,20,17,1041,3,8,0
35,57,2254,3783510,3817540,554,30,24,1041,0,0,6
36,95,2349,627762,632573,264,5,10,1048,1,0,0
37,31,2380,3733388,3756155,206,30,10,1050,0,0,11
