id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
318,Pierre-Emerick Aubameyang,32,2785,31,31.144994247704744,2,4.5015602223575115,116,26,3,0,F S,Borussia Dortmund,29,28.113889146596193,32.586529176682234,3.351819572970271
227,Robert Lewandowski,33,2781,30,30.09775198623538,5,5.550536720082164,143,30,5,0,F S,Bayern Munich,25,26.309114795178175,33.58735675364733,7.891288125887513
137,Anthony Modeste,34,2983,25,20.45860643684864,2,1.8527978155761957,101,19,3,0,F,FC Cologne,22,17.427740216255188,18.94515658542514,4.138788845390081
65,Timo Werner,31,2450,21,14.531015504151583,5,3.463492389768362,74,31,4,0,F S,RasenBallsport Leipzig,19,13.015461537986994,18.194531317800283,4.127602778375149
3887,Mario Gomez,33,2858,16,17.49514924362302,1,3.458985408768058,84,38,4,0,F S,Wolfsburg,14,15.979601237922907,19.869859222322702,4.098863444291055
155,Max Kruse,23,2049,15,8.495129983872175,7,5.525232771411538,41,49,1,0,F M,Werder Bremen,11,5.4640186950564384,14.92626778036356,5.637004118412733
956,Andrej Kramaric,34,2384,15,14.232868876308203,8,6.277615133672953,99,35,1,0,F M S,Hoffenheim,10,10.444150019437075,17.646828174591064,3.718131709843874
392,Arjen Robben,26,1829,13,6.103043120354414,9,6.79096732661128,83,49,0,0,F M S,Bayern Munich,13,6.103043120354414,18.69633474946022,8.544136235490441
29,Vedad Ibisevic,32,2732,12,13.618097253143787,4,1.8481715666130185,72,19,7,1,F,Hertha Berlin,9,11.344849742949009,14.972129806876183,3.9868015870451927
11,Sandro Wagner,31,2608,11,12.228018639609218,2,2.0659215543419123,66,17,3,1,F S,Hoffenheim,11,12.228018639609218,13.068853184580803,3.6682797810062766
191,Chicharito,26,1812,11,11.77249076217413,3,2.6523318011313677,52,22,1,0,F S,Bayer Leverkusen,11,10.25717680901289,13.062140602618456,4.198422223329544
208,Lars Stindl,30,2597,11,9.092252761125565,3,2.9696911005303264,68,38,8,0,F M S,Borussia M.Gladbach,11,8.334473818540573,17.72290614247322,8.220788089558482
306,Florian Niederlechner,34,2440,11,10.81859162542969,2,1.729306485503912,78,17,4,0,F S,Freiburg,8,8.54526546690613,10.007859809324145,1.3486017091199756
993,Serge Gnabry,27,1969,11,5.709119375795126,1,3.145673416554928,62,31,1,0,F M S,Werder Bremen,10,4.95134227629751,8.574019776657224,2.0797090902924538
4248,Nils Petersen,33,1211,10,9.998764891177416,4,1.3219555970281363,51,16,0,0,F S,Freiburg,8,7.72543924394995,7.989752314053476,0.8738949112594128
4247,Maximilian Philipp,25,1944,9,5.96579906065017,2,2.9335761042311788,53,26,5,0,F M S,Freiburg,9,5.208027032203972,6.2844589138403535,1.6769983973354101
5302,Guido Burgstaller,18,1478,9,8.20168130658567,2,2.433908199891448,45,18,1,0,F S,Schalke 04,9,7.443900367245078,9.644286066293716,1.573770516552031
115,Fin Bartels,31,2222,8,5.965190809220076,7,5.663376197218895,42,41,4,0,F M S,Werder Bremen,8,5.965190809220076,14.590464258566499,4.144710135646164
360,Ádám Szalai,22,763,8,4.074525881558657,1,1.2158622071146965,18,16,2,0,F M S,Hoffenheim,8,4.074525881558657,6.0095150005072355,2.139537325128913
5247,Naby Keita,31,2418,8,4.810895485803485,7,5.058186668902636,43,40,8,0,M S,RasenBallsport Leipzig,8,4.810895485803485,15.840575125068426,8.005770618095994
5248,Marcel Sabitzer,32,2604,8,9.127260820008814,4,4.050318436697125,79,35,3,0,F M S,RasenBallsport Leipzig,8,9.127260820008814,19.479738894850016,9.028249844908714
5249,Emil Forsberg,30,2353,8,6.100950824096799,19,12.02499233931303,49,94,1,1,F M S,RasenBallsport Leipzig,7,4.585397416725755,17.394191328436136,6.364960346370935
26,Salomon Kalou,26,2008,7,5.878901872783899,4,4.417143693193793,38,24,1,0,F M S,Hertha Berlin,6,5.121125888079405,8.600981011986732,1.5261633098125458
45,Yunus Malli,32,2561,7,8.012633055914193,7,5.977636711671948,60,51,1,0,F M S,"Mainz 05,Wolfsburg",4,5.739302076864988,11.99862326681614,4.981959054246545
88,Mark Uth,22,1146,7,4.159342561848462,3,2.2283678660169244,39,21,4,0,F M S,Hoffenheim,7,4.159342561848462,6.4423176078125834,1.02431321144104
135,Yuya Osako,30,2382,7,4.768906065728515,6,5.222213642671704,43,33,4,0,F M S,FC Cologne,7,4.768906065728515,13.338144436478615,5.115014272741973
210,Raffael,20,1505,7,6.63950087223202,0,3.8743096590042114,46,44,1,0,F S,Borussia M.Gladbach,6,5.881727830506861,11.908588109537959,4.530706946738064
240,Almog Cohen,31,2503,7,6.392620615195483,1,0.7125077815726399,60,6,2,0,M S,Ingolstadt,6,5.634844608139247,7.101173011120409,2.5854939790442586
319,Marco Reus,17,1194,7,8.953454658389091,4,4.654693799093366,43,24,1,1,F M S,Borussia Dortmund,5,7.437906637787819,12.987944789230824,4.711976286023855
2661,Marco Fabián,24,2055,7,8.319463157095015,4,3.1373355891555548,64,35,10,0,F M S,Eintracht Frankfurt,6,6.803911061026156,10.928261226043105,2.6839120872318745
83,Kevin Volland,23,1462,6,5.2238641725853086,2,2.9528318382799625,34,25,3,1,F M S,Bayer Leverkusen,5,4.4660881431773305,8.703981446102262,2.98443790525198
189,Hakan Calhanoglu,15,1223,6,4.495478700846434,5,3.7134565338492393,47,29,1,0,F M S,Bayer Leverkusen,5,2.9800099954009056,7.142978526651859,4.036383386701345
213,Thorgan Hazard,23,1631,6,5.565130988135934,4,2.502633225172758,42,32,3,0,F M S,Borussia M.Gladbach,6,4.807353967800736,8.327637693844736,2.4290121058002114
223,Joshua Kimmich,27,1540,6,4.21094605140388,1,1.604692105203867,31,31,1,0,D M S,Bayern Munich,6,4.21094605140388,12.409614089876413,10.134618051350117
229,Thiago Alcántara,27,2291,6,4.9807650074362755,5,3.1479863952845335,37,49,4,0,M S,Bayern Munich,6,4.9807650074362755,25.885921880602837,20.334679946303368
280,Halil Altintop,31,1602,6,3.7999961161985993,2,1.3146936129778624,16,15,1,0,F M S,Augsburg,6,3.7999961161985993,7.89649170730263,2.958784175105393
2636,Darío Lezcano,33,2522,6,6.9478616220876575,3,2.718397181481123,59,29,4,0,F S,Ingolstadt,6,6.190088580362499,11.921502089127898,4.3963678777217865
2638,Alessandro Schöpf,28,2040,6,4.17460650857538,2,1.542042886838317,28,25,4,0,M S,Schalke 04,6,4.17460650857538,10.264456011354923,5.676028918474913
3226,Ousmane Dembélé,32,2042,6,5.106051243841648,12,11.507413808256388,55,62,7,0,F M S,Borussia Dortmund,6,5.106051243841648,20.956580638885498,7.158096166327596
3455,Raphael Guerreiro,24,1484,6,4.285503501072526,3,2.6907918956130743,33,27,0,0,D M S,Borussia Dortmund,6,4.285503501072526,15.21160614490509,9.871940907090902
5222,Joel Pohjanpalo,11,180,6,4.089202351868153,0,0.8296813704073429,18,4,0,0,F S,Bayer Leverkusen,6,4.089202351868153,5.276753015816212,0.49851760268211365
5266,Vincenzo Grifo,30,2492,6,5.373061476275325,8,5.807442771270871,83,70,1,0,F M S,Freiburg,5,4.615284590050578,9.681026013568044,4.845142871141434
