name,time,event
wildcard,2025-09-13T01:31:24.088726Z,4
freehit,2025-11-29T12:42:30.468345Z,13
3xc,2025-12-20T10:52:33.220385Z,17
bboost,2025-12-26T17:45:12.671771Z,18
3xc,2026-02-10T17:52:05.228796Z,26
wildcard,2026-04-10T01:29:16.866595Z,32
bboost,2026-04-17T23:21:56.256403Z,33
freehit,2026-04-23T02:24:56.100269Z,34
