id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
585007,45,MissedShots,0.7719999694824219,0.5779999923706055,0.01880522444844246,Ngal&#039;ayel Mukau,a,12800,SetPiece,2024,LeftFoot,28050,Reims,Lille,0,2,2024-08-17 17:00:00,,None
604716,3,MissedShots,0.7930000305175782,0.28899999618530275,0.022129954770207405,Ngal&#039;ayel Mukau,a,12800,OpenPlay,2024,LeftFoot,28160,Montpellier,Lille,2,2,2024-12-01 14:00:00,Ayyoub Bouaddi,Pass
605475,57,BlockedShot,0.8119999694824219,0.5059999847412109,0.062122736126184464,Ngal&#039;ayel Mukau,h,12800,OpenPlay,2024,LeftFoot,28169,Lille,Brest,3,1,2024-12-06 18:00:00,Edon Zhegrova,Pass
605477,68,BlockedShot,0.8490000152587891,0.43,0.09710086137056351,Ngal&#039;ayel Mukau,h,12800,OpenPlay,2024,LeftFoot,28169,Lille,Brest,3,1,2024-12-06 18:00:00,Edon Zhegrova,Pass
610107,56,BlockedShot,0.769000015258789,0.425,0.03978681191802025,Ngal&#039;ayel Mukau,h,12800,OpenPlay,2024,LeftFoot,28188,Lille,Nantes,1,1,2025-01-04 18:00:00,Osame Sahraoui,BallTouch
610109,63,MissedShots,0.7469999694824219,0.534000015258789,0.03574974834918976,Ngal&#039;ayel Mukau,h,12800,OpenPlay,2024,LeftFoot,28188,Lille,Nantes,1,1,2025-01-04 18:00:00,Jonathan Christian David,LayOff
617985,39,BlockedShot,0.879000015258789,0.500999984741211,0.08394094556570053,Ngal&#039;ayel Mukau,a,12800,OpenPlay,2024,LeftFoot,28242,Rennes,Lille,0,2,2025-02-16 19:45:00,Mitchel Bakker,Cross
618537,11,SavedShot,0.845999984741211,0.4370000076293945,0.08694526553153992,Ngal&#039;ayel Mukau,h,12800,OpenPlay,2024,LeftFoot,28248,Lille,Monaco,2,1,2025-02-22 16:00:00,Jonathan Christian David,Pass
618545,45,BlockedShot,0.8590000152587891,0.49,0.11313623189926147,Ngal&#039;ayel Mukau,h,12800,OpenPlay,2024,LeftFoot,28248,Lille,Monaco,2,1,2025-02-22 16:00:00,Jonathan Christian David,Pass
618551,66,BlockedShot,0.7530000305175781,0.5640000152587891,0.042471226304769516,Ngal&#039;ayel Mukau,h,12800,OpenPlay,2024,LeftFoot,28248,Lille,Monaco,2,1,2025-02-22 16:00:00,Chuba Akpom,Pass
624907,48,SavedShot,0.774000015258789,0.34400001525878904,0.029341496527194977,Ngal&#039;ayel Mukau,h,12800,OpenPlay,2024,LeftFoot,28289,Lille,Lens,1,0,2025-03-30 19:45:00,Mitchel Bakker,Pass
638101,60,BlockedShot,0.9219999694824219,0.28399999618530275,0.04595649987459183,Ngal&#039;ayel Mukau,a,12800,OpenPlay,2025,RightFoot,29542,Brest,Lille,3,3,2025-08-17 13:00:00,Benjamin André,Pass
638104,65,Goal,0.965,0.48,0.600976288318634,Ngal&#039;ayel Mukau,a,12800,FromCorner,2025,RightFoot,29542,Brest,Lille,3,3,2025-08-17 13:00:00,Nathan Ngoy,HeadPass
