event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,50,50,5781366,5789132,5781357,65,0,1000,0,0,8
2,55,105,4022520,4025083,4597318,40,9,999,1,0,14
3,54,159,3339053,3341039,3374916,30,23,1000,1,0,7
4,67,226,4531594,4534802,3097693,40,1,998,0,0,11
5,52,278,2085575,2089549,2244891,20,1,1002,0,0,15
6,76,354,532219,533910,973657,5,38,1005,2,0,2
7,79,433,1376025,1377876,637988,15,16,1007,1,0,9
8,82,515,495697,496479,307437,5,32,1012,1,0,18
9,44,559,6698917,6700907,409390,55,10,1016,1,0,10
10,69,628,5124189,5126753,519458,45,9,1020,1,0,8
11,34,662,8452891,8455634,687939,70,16,1021,1,0,9
12,72,734,101111,101210,188356,1,16,1019,0,0,5
13,74,808,43105,44573,35549,1,16,1019,0,0,1
14,80,888,1067995,1068730,21086,10,3,1020,2,0,2
15,37,925,10505059,10506541,63040,85,13,1021,1,0,15
16,70,995,3217049,3218010,88322,30,6,1026,3,0,6
17,89,1084,1399065,1399613,65244,15,0,1024,3,0,6
18,50,1134,3763838,3765461,56418,30,11,1027,1,0,14
19,50,1180,2409063,2410033,43560,20,0,1029,2,4,0
20,72,1252,172602,173037,15202,5,0,1030,0,0,6
21,53,1305,4828470,4831224,18380,40,1,1028,1,0,11
22,44,1349,4507050,4508750,16433,40,6,1029,2,0,17
23,55,1404,2176323,2177382,8037,20,23,1031,1,0,7
24,75,1479,678555,679703,4619,10,1,1034,1,0,4
25,61,1540,5594309,5597549,8078,45,1,1036,0,0,17
26,82,1622,636021,636534,4086,5,0,1039,2,0,6
27,57,1679,1913133,1914167,2418,15,5,1040,1,0,18
28,79,1758,905766,907029,1938,10,13,1041,1,0,1
29,62,1816,4384893,4385857,2673,35,2,1041,2,4,7
30,69,1885,169837,170964,1431,5,2,1046,0,0,12
31,67,1952,536874,538106,978,5,14,1047,2,0,3
32,58,2010,2553534,2565736,1053,20,24,1038,0,0,11
33,134,2144,42342,45637,377,1,38,1033,1,0,0
34,57,2201,1327992,1332025,463,15,38,1033,0,0,6
35,57,2258,4069677,4071991,443,35,18,1035,1,0,7
36,82,2340,2760811,2763096,448,25,23,1039,1,0,11
37,30,2370,4261306,4263537,386,35,8,1041,1,0,13
