event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,70,70,958151,964065,958151,15,5,1000,0,0,4
2,48,118,6140282,6147144,1982826,60,5,1001,0,0,7
3,59,177,1816329,1819517,1039391,20,5,1004,0,0,3
4,79,256,1424252,1425443,547619,15,24,1004,2,0,7
5,51,307,2385748,2392550,435879,25,24,1008,0,0,9
6,75,382,610365,612880,196050,10,3,1010,2,0,4
7,63,445,5394519,5398276,336480,45,3,1012,0,0,4
8,62,507,4308006,4312902,456655,40,3,1014,0,0,17
9,37,544,9636492,9637379,788423,80,29,1014,3,0,13
10,71,615,4472385,4475583,869986,40,6,1014,2,0,6
11,50,665,1427347,1431149,612253,15,6,1018,0,0,20
12,67,732,242141,242600,209983,5,9,1019,1,0,7
13,62,794,288747,290816,82421,5,9,1020,0,0,4
14,54,848,7903031,7905928,183794,65,5,1014,0,0,16
15,86,934,85475,85552,38851,1,1,1021,2,0,0
16,73,1007,2476080,2477090,48972,20,17,1030,2,0,7
17,80,1087,3009682,3013029,55024,25,17,1035,0,0,5
18,40,1127,8281234,8285064,77992,70,6,1032,2,0,15
19,37,1164,7735005,7743042,91813,65,6,1031,0,0,11
20,71,1235,241730,241811,36348,5,5,1029,3,0,7
21,48,1283,6444874,6451581,54555,55,5,1030,0,0,8
22,42,1325,5070408,5077302,52294,40,5,1030,0,0,18
23,53,1378,2789799,2790215,31219,25,14,1028,3,0,7
24,65,1443,2745850,2748594,30653,25,13,1028,1,0,1
25,69,1512,2624635,2630888,32634,25,13,1033,0,0,7
26,84,1596,475234,475401,15763,5,3,1032,3,0,14
27,61,1657,1025380,1027410,7990,10,3,1033,0,0,11
28,81,1738,711916,714003,5796,10,15,1036,2,0,5
29,77,1815,1172701,1175045,2723,10,15,1039,0,0,0
30,54,1869,2129170,2135781,3307,20,15,1043,0,0,23
31,54,1923,2725912,2728369,4492,25,15,1045,1,0,2
32,70,1993,512082,515192,2507,5,4,1038,0,0,11
33,134,2127,60249,61001,970,1,43,1038,2,0,0
34,57,2184,1327992,1333837,1132,15,43,1038,0,0,13
35,48,2232,7769722,7774742,1677,60,23,1040,1,0,16
36,93,2325,833623,835625,969,10,27,1043,1,0,11
37,29,2354,4622469,4624224,816,40,3,1044,2,0,14
