event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,57,57,3654199,3776251,3654196,40,0,1000,0,0,10
2,42,99,8100479,8135554,5839522,80,10,1000,1,0,15
3,62,161,1218279,1241815,3015815,15,10,1000,0,0,18
4,73,234,2854813,2871965,2182409,25,0,1000,2,0,6
5,52,286,2085575,2139433,1557881,20,0,1003,0,0,1
6,64,350,2017269,2042998,1153904,20,6,994,0,0,6
7,73,423,2582789,2640701,988510,25,6,997,0,0,7
8,71,494,1842241,1875483,813512,20,6,1003,0,0,13
9,39,533,8811903,8835415,1168179,75,9,1003,2,0,2
10,84,617,947131,963908,795161,10,6,1005,1,0,6
11,58,675,374238,386843,394641,5,6,1007,0,0,8
12,52,727,1844907,1849417,264937,15,2,1006,3,0,11
13,77,804,21292,23894,45554,1,2,1007,0,0,3
14,65,869,4905273,4940737,64087,40,0,1008,1,0,2
15,53,922,4658401,4681283,73596,40,2,1008,2,0,19
16,75,997,2046979,2050578,79775,20,1,1015,1,0,3
17,94,1091,776261,786257,44817,10,1,1018,2,0,16
18,83,1174,23156,23462,5757,1,6,1017,3,0,0
19,46,1220,3831973,3848851,4269,35,13,1018,2,0,8
20,39,1259,7075534,7148101,10121,60,13,1022,0,0,21
21,60,1319,2294050,2348101,8299,20,13,1023,0,0,13
22,42,1361,5471132,5496493,8361,45,6,1020,2,0,14
23,46,1407,5065120,5153445,6550,40,6,1022,0,0,23
24,61,1468,4203076,4213628,8484,35,15,1016,3,0,4
25,80,1548,564195,573703,5209,5,9,1017,1,0,9
26,74,1622,1805573,1824265,4039,15,0,1018,1,0,4
27,44,1666,6708526,6814990,4942,55,0,1017,0,0,12
28,82,1748,617683,627959,3389,5,1,1018,2,0,4
29,69,1817,2523824,2566935,2482,20,1,1021,0,0,6
30,61,1878,774708,803142,2055,10,1,1022,0,0,22
31,60,1938,1440379,1484415,2044,15,1,1025,0,0,6
32,67,2005,821763,852926,1342,10,6,1012,0,0,12
33,130,2135,99878,100167,637,1,30,1014,3,0,0
34,57,2192,1327992,1366413,750,15,30,1014,0,0,11
35,61,2253,2701774,2722874,572,25,0,1016,1,0,5
36,78,2331,3766168,3782831,709,30,4,1019,2,0,17
37,43,2374,1373892,1385509,284,15,6,1021,1,0,0
