season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2022/23,532529,45,45,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.0,2.0,0.4,0,0,0,0,0,0.00,0.00,0.00,0.23
2023/24,532529,45,45,42,866,3,0,2,17,0,0,0,1,0,0,5,155,200.2,118.9,230.0,55.0,0,0,0,0,8,2.10,0.36,2.46,14.30
2024/25,532529,50,49,89,1839,5,3,6,30,0,0,0,5,0,0,8,404,394.6,268.1,304.0,97.0,0,0,0,146,22,2.74,1.50,4.24,30.09
