element_in,element_in_cost,element_out,element_out_cost,entry,event,time
16,100,235,103,16424,37,2026-05-15T17:08:02.687458Z
387,70,84,54,16424,36,2026-05-09T09:49:59.159546Z
5,72,72,51,16424,35,2026-05-01T17:22:48.661144Z
387,71,717,65,16424,34,2026-04-24T16:14:33.647563Z
717,65,387,71,16424,34,2026-04-24T16:13:13.168179Z
749,43,730,53,16424,34,2026-04-24T08:56:00.072109Z
119,85,450,80,16424,34,2026-04-24T08:56:00.071755Z
387,71,593,45,16424,34,2026-04-23T12:45:14.650466Z
442,44,6,61,16424,34,2026-04-23T12:43:08.323865Z
730,53,791,55,16424,34,2026-04-23T09:32:09.714485Z
381,140,382,83,16424,34,2026-04-21T12:40:02.445859Z
64,86,499,103,16424,34,2026-04-21T12:39:36.937353Z
606,44,531,47,16424,34,2026-04-21T12:39:36.937026Z
791,55,249,77,16424,34,2026-04-19T07:50:17.780495Z
531,47,411,50,16424,34,2026-04-19T07:50:17.780299Z
373,62,151,45,16424,34,2026-04-19T07:50:17.780074Z
382,83,783,55,16424,34,2026-04-19T07:50:17.779829Z
593,45,84,54,16424,34,2026-04-19T07:50:17.779632Z
670,48,139,45,16424,34,2026-04-19T07:50:17.779431Z
1,60,341,39,16424,34,2026-04-19T07:50:17.779232Z
329,60,82,82,16424,34,2026-04-19T07:50:17.779018Z
624,77,430,143,16424,34,2026-04-19T07:50:17.778805Z
499,103,691,56,16424,34,2026-04-19T07:50:17.778607Z
450,80,235,105,16424,34,2026-04-19T07:50:17.778404Z
694,45,343,43,16424,34,2026-04-19T07:50:17.778195Z
6,61,72,51,16424,34,2026-04-19T07:50:17.777952Z
5,71,77,42,16424,34,2026-04-19T07:50:17.777665Z
343,43,5,68,16424,33,2026-04-18T09:53:23.407488Z
84,54,450,80,16424,33,2026-04-18T09:53:23.400560Z
249,78,136,67,16424,32,2026-04-10T16:29:42.004702Z
82,82,329,60,16424,32,2026-04-10T16:29:42.004320Z
691,56,661,90,16424,32,2026-04-10T16:29:42.003934Z
77,42,8,63,16424,32,2026-04-10T16:29:42.003518Z
783,55,83,60,16424,32,2026-04-10T16:29:42.003136Z
450,80,119,84,16424,32,2026-04-10T16:29:42.002722Z
235,106,242,50,16424,32,2026-04-10T16:29:42.002349Z
151,45,373,62,16424,32,2026-04-10T16:29:42.001959Z
72,51,113,45,16424,32,2026-04-10T16:29:42.001533Z
411,50,317,46,16424,32,2026-04-10T16:29:42.001133Z
341,39,470,40,16424,32,2026-04-10T16:29:42.000678Z
139,45,1,57,16424,32,2026-04-10T16:29:41.993203Z
83,60,47,72,16424,30,2026-03-14T13:25:47.312301Z
373,62,411,51,16424,30,2026-03-14T13:25:47.306930Z
113,45,694,44,16424,29,2026-03-03T17:46:51.006540Z
329,59,237,67,16424,28,2026-02-27T18:06:47.297089Z
8,64,373,59,16424,26,2026-02-10T17:14:16.115346Z
317,46,295,46,16424,25,2026-02-06T17:58:20.557964Z
119,83,488,69,16424,24,2026-01-30T23:14:10.922828Z
237,66,414,84,16424,23,2026-01-24T10:59:26.691845Z
449,91,450,81,16424,22,2026-01-17T10:35:27.066591Z
5,65,8,64,16424,21,2026-01-03T22:45:26.949220Z
694,43,113,45,16424,20,2026-01-03T10:35:31.372408Z
450,81,449,92,16424,19,2025-12-28T22:53:07.796936Z
449,93,16,102,16424,18,2025-12-20T22:54:17.300701Z
661,87,283,76,16424,18,2025-12-20T22:54:17.295209Z
411,53,347,39,16424,17,2025-12-15T00:05:43.204372Z
47,70,119,82,16424,17,2025-12-15T00:05:43.195989Z
113,45,256,58,16424,16,2025-12-10T23:33:13.697968Z
16,102,299,65,16424,16,2025-12-10T23:33:13.690741Z
242,50,82,75,16424,16,2025-12-06T19:10:06.032324Z
8,64,72,48,16424,16,2025-12-06T19:10:06.025386Z
414,82,16,101,16424,15,2025-12-04T23:10:07.498358Z
488,66,267,66,16424,14,2025-12-01T21:21:04.860476Z
565,50,470,40,16424,13,2025-11-29T07:45:14.599983Z
252,42,283,78,16424,13,2025-11-29T07:45:14.599714Z
47,69,299,65,16424,13,2025-11-29T07:45:14.599327Z
120,70,82,76,16424,13,2025-11-29T07:45:14.598879Z
414,80,16,101,16424,13,2025-11-29T07:45:14.598345Z
381,142,119,83,16424,13,2025-11-29T07:45:14.597767Z
36,46,72,48,16424,13,2025-11-29T07:06:21.540712Z
106,49,295,45,16424,13,2025-11-29T07:06:21.540428Z
411,51,373,59,16424,13,2025-11-29T07:06:21.540056Z
32,50,1,57,16424,13,2025-11-29T07:06:21.539728Z
16,101,237,67,16424,12,2025-11-22T10:55:16.997465Z
373,59,5,63,16424,12,2025-11-21T23:06:57.539205Z
136,62,666,90,16424,11,2025-11-07T23:05:42.926860Z
267,65,582,66,16424,10,2025-10-30T23:55:40.388505Z
295,45,568,55,16424,9,2025-10-24T16:57:39.099112Z
237,67,427,56,16424,9,2025-10-24T16:57:39.093362Z
5,61,477,51,16424,6,2025-09-25T22:07:34.479143Z
299,65,384,77,16424,6,2025-09-25T22:07:34.472176Z
384,77,419,67,16424,4,2025-09-13T09:37:09.482344Z
666,90,249,76,16424,4,2025-09-13T09:37:09.482086Z
430,141,661,87,16424,4,2025-09-13T09:37:09.481817Z
119,81,381,145,16424,4,2025-09-13T09:37:09.481496Z
419,67,299,65,16424,4,2025-09-12T22:00:56.949408Z
299,65,119,80,16424,4,2025-09-12T08:40:18.328425Z
72,46,685,45,16424,4,2025-09-12T08:40:18.328084Z
1,55,220,50,16424,4,2025-09-10T08:38:10.573787Z
477,51,443,45,16424,4,2025-09-03T10:52:42.307563Z
443,45,477,51,16424,4,2025-09-03T10:51:55.932849Z
477,51,603,45,16424,4,2025-09-01T10:27:33.129989Z
685,45,508,50,16424,4,2025-09-01T10:27:33.129671Z
347,40,191,40,16424,4,2025-08-31T21:15:30.930184Z
256,55,441,45,16424,4,2025-08-31T21:15:30.929802Z
119,80,47,70,16424,4,2025-08-31T21:09:24.934009Z
283,75,64,89,16424,4,2025-08-31T21:08:48.024480Z
661,87,654,65,16424,4,2025-08-31T21:08:48.024095Z
82,73,450,81,16424,4,2025-08-31T16:13:46.431856Z
450,81,235,104,16424,3,2025-08-30T07:08:40.341160Z
427,55,663,55,16424,2,2025-08-16T19:19:27.053889Z
