event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,51,51,5471408,5735957,5471399,60,0,1000,0,0,10
2,97,148,10976,11506,69364,1,4,998,1,0,0
3,53,201,3673859,3739491,99836,35,16,1000,1,0,3
4,59,260,7460062,7528718,410090,65,25,1004,1,0,10
5,40,300,7181102,7260968,716974,65,29,1005,1,0,15
6,58,358,3216770,3296127,806455,30,4,1005,0,0,7
7,76,434,1876985,1946645,602854,20,4,1011,0,0,12
8,65,499,3598233,3634994,666991,30,22,1017,2,0,10
9,44,543,6698917,6751205,819781,55,1,1017,1,0,28
10,101,644,27401,28786,247422,1,12,1022,1,0,15
11,36,680,7416128,7499829,318130,65,12,1028,1,0,12
12,45,725,3635691,3692255,293221,30,18,1031,1,0,2
13,45,770,2228322,2318746,267640,20,18,1031,0,0,6
14,87,857,347359,358205,120644,5,10,1029,1,0,2
15,65,922,1441544,1466128,73596,15,16,1030,1,0,11
16,62,984,5688790,5710196,144897,50,11,1032,4,0,16
17,90,1074,1232873,1254448,103749,10,0,1035,2,0,13
18,50,1124,3532593,3668096,90313,30,0,1038,0,0,7
19,50,1174,2409063,2429729,57920,20,33,1037,2,0,2
20,78,1252,62621,65022,15202,1,15,1033,1,0,7
21,73,1325,285543,297481,5935,5,10,1035,1,0,16
22,42,1367,5393205,5457358,6072,45,2,1038,1,0,15
23,49,1416,4113134,4159167,3876,35,23,1044,1,0,5
24,68,1484,1782750,1863382,3400,15,23,1045,0,0,4
25,60,1544,6255989,6300949,6408,50,23,1046,1,0,21
26,67,1611,3444090,3565658,7175,30,23,1047,0,0,10
27,51,1662,3769490,3814189,6103,30,9,1047,1,0,9
28,65,1727,3485069,3509684,10183,30,3,1044,2,0,6
29,78,1805,1145991,1158907,4846,10,9,1038,2,0,17
30,78,1883,21386,23044,1566,1,9,1042,0,0,7
31,61,1944,1366788,1385018,1477,15,20,1047,1,0,6
32,56,2000,3179668,3335040,1781,25,6,1033,0,0,13
33,138,2138,16996,18107,541,1,34,1031,1,0,0
34,74,2212,102576,115541,235,1,34,1030,0,0,17
35,61,2273,2475397,2617776,182,20,34,1032,0,0,10
36,85,2358,2142858,2170752,147,20,60,1034,2,0,16
37,22,2380,7174947,7194879,198,60,22,1036,2,0,24
