event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,74,74,544391,593839,544391,10,0,1000,0,0,7
2,58,132,3021533,3080710,526327,30,0,1000,0,0,9
3,55,187,3020609,3062404,439255,30,13,1003,1,0,4
4,86,273,492661,498783,130524,5,33,1003,2,0,7
5,54,327,1563964,1623492,86890,15,33,1007,0,0,1
6,79,406,309573,316859,27609,5,33,1005,0,0,0
7,98,504,42985,43472,3034,1,13,1007,3,0,0
8,92,596,104194,106868,400,1,0,1014,1,0,14
9,40,636,8309233,8355472,1647,70,0,1019,1,0,9
10,76,712,2598972,2656744,2298,25,0,1024,0,0,19
11,41,753,4518598,4629915,2268,40,0,1024,0,0,7
12,55,808,1302015,1306464,1126,15,18,1016,3,0,6
13,62,870,288747,302741,291,5,18,1017,0,0,11
14,67,937,4237626,4282723,579,35,10,1017,1,0,11
15,47,984,6961409,7008218,1393,60,5,1022,1,0,17
16,77,1061,1629973,1646993,1593,15,0,1013,0,0,10
17,96,1157,619877,626265,630,5,6,1018,3,0,14
18,32,1189,11149986,11155162,2090,90,15,1022,3,0,17
19,40,1229,6218694,6351229,2340,50,15,1024,0,0,8
20,53,1282,2653259,2670915,2525,25,15,1020,2,0,8
21,63,1345,1672561,1703638,1733,15,1,1018,1,0,19
22,40,1385,6437818,6493060,2057,55,1,1021,1,0,6
23,42,1427,6907487,7040033,1947,55,1,1025,0,0,6
24,57,1480,5791205,5803903,4389,50,5,1023,3,4,12
25,54,1534,8160498,8245906,11215,65,5,1026,0,0,14
26,109,1643,3333,3447,1227,1,3,1028,2,0,6
27,56,1695,2194302,2206461,959,20,0,1029,2,4,15
28,77,1772,1093893,1124207,847,10,0,1034,0,0,2
29,88,1860,302000,306717,216,5,52,1028,1,0,4
30,52,1912,2891964,2925619,298,25,20,1029,1,0,5
31,45,1957,4675420,4686456,731,40,12,1032,2,0,0
32,55,2012,3494686,3622367,940,30,4,1023,0,0,12
33,123,2135,201678,206960,656,5,4,1024,0,0,0
34,76,2211,64701,73818,253,1,4,1024,0,0,15
35,54,2265,4949151,5078547,293,40,4,1027,0,0,19
36,79,2344,3548084,3558635,355,30,3,1027,3,0,12
37,20,2364,7877360,7903468,489,65,0,1029,1,0,14
