element,position,multiplier,player_name
502,1,1,Matz Sels
5,2,1,Gabriel dos Santos Magalhães
191,3,1,Maxime Estève
575,4,1,Micky van de Ven
582,5,1,Mohammed Kudus
242,6,1,Kiernan Dewsbury-Hall
449,7,1,Bruno Borges Fernandes
82,8,1,Antoine Semenyo
249,9,1,João Pedro Junqueira de Jesus
283,10,1,Jean-Philippe Mateta
430,11,2,Erling Haaland
470,12,0,Martin Dúbravka
427,13,0,Tijjani Reijnders
402,14,0,Rayan Aït-Nouri
441,15,0,Patrick Dorgu
