season_name,total_points,rank
2016/17,1323,3928711
2017/18,2011,1088017
2018/19,2301,57479
2019/20,2183,370982
2020/21,2137,1383070
2021/22,2069,2175974
2022/23,2005,5182500
2024/25,2494,140592
