element,position,multiplier,player_name
1,1,1,David Raya Martín
5,2,1,Gabriel dos Santos Magalhães
72,3,1,Marcos Senesi Barón
575,4,1,Micky van de Ven
16,5,1,Bukayo Saka
82,6,1,Antoine Semenyo
299,7,1,Iliman Ndiaye
449,8,1,Bruno Borges Fernandes
691,9,1,Dominic Calvert-Lewin
430,10,2,Erling Haaland
249,11,1,João Pedro Junqueira de Jesus
470,12,0,Martin Dúbravka
191,13,0,Maxime Estève
694,14,0,Nordi Mukiele
335,15,0,Josh King
