name,time,event
wildcard,2025-08-17T20:56:48.667606Z,2
bboost,2025-10-03T20:24:51.274256Z,8
3xc,2025-11-26T12:19:11.970257Z,13
freehit,2025-12-16T12:36:22.438721Z,17
3xc,2026-02-07T16:58:33.290446Z,26
wildcard,2026-04-06T07:10:48.583009Z,32
bboost,2026-04-13T09:41:32.284510Z,33
freehit,2026-04-18T18:31:57.205124Z,34
