event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,46,46,6908104,6910271,6908093,75,0,1000,0,0,3
2,40,86,8464219,8465944,7857430,80,0,1000,0,0,11
3,64,150,1004529,1004999,4904814,10,10,999,2,0,6
4,78,228,1475616,1476787,2848087,15,8,997,0,0,8
5,66,294,160173,160856,1003046,5,8,1003,0,0,0
6,75,369,610365,611268,449636,10,29,1006,2,0,10
7,65,434,4977295,4978165,607693,45,7,1010,1,0,6
8,67,501,2812309,2813922,606110,25,7,1018,0,0,12
9,40,541,8044269,8046455,876204,70,7,1017,0,0,6
10,87,628,568152,568549,513999,5,0,1018,1,0,16
11,51,679,1387338,1387777,330330,15,2,1020,2,0,6
12,60,739,673480,673791,147370,10,2,1017,2,0,6
13,76,815,27085,27519,22929,1,2,1018,0,0,4
14,57,868,7362995,7363582,68960,60,2,1018,2,4,4
15,60,928,2445608,2446719,54684,20,13,1020,1,0,6
16,87,1015,521238,521528,32623,5,3,1027,3,0,2
17,81,1096,2770155,2770981,34362,25,3,1032,0,0,9
18,43,1139,6898167,6899413,43407,55,4,1032,2,0,12
19,60,1199,554594,554623,15613,5,3,1031,3,0,8
20,58,1257,1408519,1409234,11502,15,3,1033,0,0,2
21,53,1310,4586743,4588450,13837,40,3,1033,0,0,11
22,47,1357,3264671,3265226,10596,30,22,1031,2,0,11
23,57,1414,1734122,1734343,4466,15,17,1032,2,0,9
24,71,1485,1175406,1176165,3215,10,17,1035,0,0,4
25,69,1554,2884040,2884801,3766,25,22,1035,2,0,3
26,83,1637,529505,529807,1741,5,16,1037,1,0,5
27,53,1690,2812957,2814125,1264,25,16,1038,0,0,13
28,76,1766,1299974,1300629,1212,15,10,1039,1,0,0
29,50,1816,7545442,7546685,2621,60,10,1041,0,0,2
30,55,1871,2105733,2105859,3071,20,7,1039,3,0,13
31,70,1941,282202,282444,1785,5,74,1041,1,0,0
32,58,1999,2553534,2559907,1903,20,8,1031,0,0,12
33,134,2133,42342,44347,729,1,33,1028,1,0,0
34,65,2198,506629,508011,540,5,33,1028,0,0,9
35,48,2246,7769722,7771656,862,60,12,1029,1,0,16
36,82,2328,2760811,2761862,847,25,17,1033,1,0,11
37,23,2351,6759588,6761462,992,55,2,1035,1,0,11
