season_name,total_points,rank
2011/12,484,2733230
2012/13,1456,2188574
2013/14,2144,476768
2014/15,1963,323727
2015/16,1586,2623341
2016/17,1693,2533074
2017/18,1610,4185481
2018/19,1814,3944693
2019/20,1986,2052836
2020/21,2440,38549
2021/22,2429,236697
2022/23,2486,217258
2023/24,2469,134971
2024/25,2490,150935
