event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,53,53,4864965,4971311,4864958,55,0,1000,0,0,7
2,57,110,3290679,3326158,3426960,35,0,1001,0,0,0
3,75,185,151543,153023,541869,5,28,1005,2,0,6
4,82,267,900724,911199,227467,10,17,1006,1,0,12
5,61,328,519510,527537,81184,5,31,1011,1,0,8
6,73,401,778488,787758,45062,10,27,1013,1,0,4
7,80,481,1123364,1147958,26201,10,27,1014,0,0,6
8,75,556,1153272,1171493,18789,10,2,1014,0,0,12
9,44,600,6462443,6508375,34319,55,2,1019,0,0,6
10,81,681,1481259,1499377,26389,15,0,1026,1,0,13
11,50,731,1427347,1456076,13761,15,0,1030,0,0,8
12,58,789,878429,884430,5543,10,6,1033,2,0,7
13,46,835,2177368,2188219,5600,20,3,1034,2,0,9
14,67,902,4237626,4266421,8264,35,20,1036,1,0,1
15,56,958,3566299,3592296,8647,30,4,1043,1,0,10
16,80,1038,1246107,1255966,8028,10,3,1046,4,0,5
17,82,1120,2543657,2567043,8461,25,3,1051,0,0,13
18,46,1166,5503147,5525803,9547,45,6,1050,2,0,15
19,45,1211,4193413,4217465,7512,35,6,1048,1,0,7
20,55,1266,2165057,2175468,6818,20,4,1046,2,0,22
21,54,1320,4225404,4279864,7892,35,4,1048,0,0,19
22,38,1358,7608353,7630771,9963,60,17,1050,2,0,18
23,49,1403,4167751,4180097,8485,35,10,1051,2,4,10
24,64,1467,2865989,2906109,8963,25,10,1055,0,0,7
25,69,1536,2884040,2899108,10190,25,19,1058,2,0,12
26,69,1605,3046617,3065274,10197,25,5,1060,1,0,8
27,49,1654,4292797,4357036,9607,35,5,1059,0,0,19
28,87,1741,274909,279856,5073,5,8,1058,2,0,2
29,67,1808,2953178,2988779,4111,25,8,1058,0,0,13
30,62,1870,654529,675708,3171,10,8,1062,0,0,26
31,64,1934,911117,921502,2579,10,22,1067,2,0,3
32,58,1992,2553534,2633626,2684,20,28,1051,0,0,12
33,142,2134,7067,7800,682,1,52,1052,1,0,0
34,66,2200,440380,459414,481,5,52,1052,0,0,10
35,56,2256,4156291,4231700,479,35,52,1054,0,0,13
36,75,2331,4573904,4580466,717,40,36,1059,3,0,18
37,35,2366,2865837,2880122,452,25,3,1059,1,0,14
