element_in,element_in_cost,element_out,element_out_cost,entry,event,time
242,53,485,73,881558,37,2026-05-15T11:40:29.965338Z
430,146,249,75,881558,35,2026-05-01T03:44:39.908251Z
21,72,235,105,881558,35,2026-05-01T03:44:39.902267Z
670,48,369,39,881558,34,2026-04-24T03:15:45.810682Z
694,45,541,38,881558,34,2026-04-23T00:43:40.749378Z
6,61,8,62,881558,34,2026-04-23T00:41:55.609156Z
369,39,434,38,881558,34,2026-04-22T21:44:51.526365Z
457,57,160,55,881558,34,2026-04-22T21:44:07.087657Z
64,86,178,62,881558,34,2026-04-22T21:44:07.087436Z
624,77,430,145,881558,34,2026-04-22T21:44:07.087245Z
515,75,485,74,881558,34,2026-04-22T21:44:07.087055Z
242,51,82,77,881558,34,2026-04-22T21:44:07.086868Z
541,38,77,41,881558,34,2026-04-22T21:44:07.086658Z
434,38,139,45,881558,34,2026-04-22T21:44:07.086418Z
8,62,72,51,881558,34,2026-04-22T21:44:07.086209Z
606,44,411,50,881558,34,2026-04-22T21:44:07.085948Z
47,74,235,105,881558,34,2026-04-22T21:34:48.136881Z
430,145,249,77,881558,34,2026-04-22T21:34:48.131519Z
160,55,329,60,881558,32,2026-04-09T03:09:54.803902Z
72,51,8,63,881558,32,2026-04-09T03:07:28.356560Z
139,45,470,40,881558,32,2026-04-06T12:03:01.645074Z
8,63,440,46,881558,32,2026-03-22T20:21:00.536755Z
485,74,119,84,881558,32,2026-03-22T20:18:14.378686Z
178,61,691,56,881558,32,2026-03-22T20:16:00.783787Z
235,106,21,71,881558,31,2026-03-20T10:37:12.414017Z
249,78,430,144,881558,31,2026-03-20T10:37:12.408287Z
691,57,252,41,881558,29,2026-03-03T10:37:45.530463Z
440,46,694,43,881558,29,2026-03-03T10:37:45.523288Z
329,59,488,68,881558,28,2026-02-23T03:00:51.118547Z
77,40,36,47,881558,28,2026-02-22T20:36:59.208477Z
411,49,256,58,881558,28,2026-02-22T20:35:58.596717Z
119,83,414,84,881558,24,2026-01-30T01:57:06.078469Z
449,93,450,80,881558,23,2026-01-24T01:55:24.625644Z
256,58,411,51,881558,23,2026-01-24T01:48:31.725947Z
411,53,403,59,881558,21,2026-01-06T09:29:37.536953Z
5,65,8,64,881558,21,2026-01-03T20:53:40.288378Z
450,81,449,91,881558,19,2025-12-28T09:22:50.945231Z
403,60,411,53,881558,18,2025-12-26T08:15:11.936478Z
670,48,287,55,881558,18,2025-12-26T08:15:11.936276Z
295,47,373,59,881558,18,2025-12-26T08:15:11.936076Z
652,43,329,58,881558,18,2025-12-26T08:15:11.935841Z
661,90,691,58,881558,18,2025-12-26T08:15:11.935592Z
691,58,252,42,881558,18,2025-12-22T06:25:17.952921Z
329,58,488,69,881558,18,2025-12-22T06:25:17.952633Z
16,103,449,92,881558,18,2025-12-22T06:25:17.952304Z
191,39,36,47,881558,18,2025-12-22T06:25:17.952016Z
411,53,403,59,881558,18,2025-12-22T06:25:17.951696Z
287,55,1,57,881558,18,2025-12-22T06:25:17.951295Z
8,65,476,51,881558,17,2025-12-18T09:39:16.354270Z
252,42,337,62,881558,17,2025-12-18T09:39:16.347190Z
373,59,256,57,881558,17,2025-12-15T22:26:46.833547Z
476,51,72,48,881558,16,2025-12-07T20:25:31.849745Z
337,62,283,77,881558,16,2025-12-07T20:25:31.849338Z
414,85,237,67,881558,16,2025-12-07T20:25:31.843544Z
488,68,660,48,881558,15,2025-12-06T08:44:01.071450Z
237,67,299,65,881558,14,2025-12-01T00:22:54.888785Z
21,70,16,100,881558,14,2025-12-01T00:17:10.499451Z
136,63,252,42,881558,12,2025-11-21T20:19:43.401189Z
36,46,5,63,881558,12,2025-11-21T20:19:43.393137Z
252,42,249,74,881558,10,2025-10-31T15:22:25.644335Z
16,100,427,56,881558,10,2025-10-31T15:22:25.637058Z
694,41,260,47,881558,10,2025-10-31T07:26:50.590009Z
283,75,597,67,881558,8,2025-10-18T09:19:43.722791Z
403,58,226,51,881558,6,2025-09-27T09:41:50.567783Z
470,40,67,45,881558,6,2025-09-26T12:37:40.693764Z
660,50,419,68,881558,6,2025-09-26T12:26:24.336604Z
597,67,252,43,881558,6,2025-09-25T01:59:25.996984Z
449,90,16,98,881558,6,2025-09-25T01:59:25.996618Z
427,56,200,55,881558,6,2025-09-23T22:07:13.851441Z
226,51,569,51,881558,6,2025-09-23T22:07:13.851067Z
5,61,191,40,881558,6,2025-09-23T22:02:56.102644Z
1,55,470,40,881558,6,2025-09-23T22:02:56.102446Z
16,98,381,145,881558,6,2025-09-23T22:02:56.102174Z
67,45,502,50,881558,6,2025-09-22T12:26:04.704248Z
569,51,568,55,881558,6,2025-09-22T12:26:04.703985Z
430,143,525,75,881558,6,2025-09-22T12:26:04.703704Z
252,43,283,75,881558,6,2025-09-22T12:26:04.703443Z
419,68,235,104,881558,6,2025-09-22T12:26:04.703127Z
200,55,623,44,881558,5,2025-09-19T21:10:33.903255Z
283,75,654,64,881558,4,2025-09-12T20:54:33.994736Z
72,46,507,50,881558,4,2025-09-12T11:43:50.918789Z
568,55,610,45,881558,3,2025-08-29T01:09:18.627451Z
82,72,16,100,881558,3,2025-08-25T12:41:39.171795Z
