element_in,element_in_cost,element_out,element_out_cost,entry,event,time
20,65,698,55,2372052,37,2026-05-15T05:49:30.325983Z
299,62,90,50,2372052,37,2026-05-15T05:49:30.320441Z
151,46,224,60,2372052,35,2026-05-01T16:36:24.725293Z
596,72,499,103,2372052,34,2026-04-24T17:10:25.167014Z
329,60,717,65,2372052,34,2026-04-24T16:52:56.102311Z
683,41,256,58,2372052,34,2026-04-24T16:49:38.638180Z
499,103,136,74,2372052,34,2026-04-24T16:49:38.637910Z
567,39,287,56,2372052,34,2026-04-24T13:59:53.606325Z
1,60,567,39,2372052,34,2026-04-24T08:40:19.865853Z
136,74,666,88,2372052,34,2026-04-24T08:39:35.090651Z
299,62,242,51,2372052,34,2026-04-24T08:39:35.090360Z
666,88,430,142,2372052,34,2026-04-23T04:44:53.996004Z
64,87,249,77,2372052,34,2026-04-23T04:44:53.995786Z
624,77,100,46,2372052,34,2026-04-23T04:44:53.995559Z
21,72,698,55,2372052,34,2026-04-23T04:44:53.995363Z
449,103,235,105,2372052,34,2026-04-23T04:44:53.995158Z
242,51,90,50,2372052,34,2026-04-23T04:44:53.994948Z
717,65,82,82,2372052,34,2026-04-23T04:44:53.994691Z
292,49,260,51,2372052,34,2026-04-23T04:44:53.994494Z
568,51,224,60,2372052,34,2026-04-23T04:44:53.994293Z
373,62,77,42,2372052,34,2026-04-23T04:44:53.994073Z
567,39,341,39,2372052,34,2026-04-23T04:44:53.993836Z
287,56,253,51,2372052,34,2026-04-23T04:44:53.993521Z
100,46,624,75,2372052,33,2026-04-17T10:52:09.493774Z
249,77,136,68,2372052,33,2026-04-17T10:52:09.493553Z
47,74,517,54,2372052,33,2026-04-17T10:52:09.493221Z
698,55,485,73,2372052,33,2026-04-17T10:52:09.492953Z
90,50,449,97,2372052,33,2026-04-17T10:52:09.492720Z
82,82,329,60,2372052,33,2026-04-17T10:52:09.492517Z
235,105,299,62,2372052,33,2026-04-17T10:52:09.492250Z
256,58,531,46,2372052,33,2026-04-17T10:52:09.492030Z
260,51,373,61,2372052,33,2026-04-17T10:52:09.491791Z
224,60,317,45,2372052,33,2026-04-17T10:52:09.491563Z
77,42,295,45,2372052,33,2026-04-17T10:52:09.491234Z
341,39,139,44,2372052,33,2026-04-17T10:52:09.490898Z
253,51,1,57,2372052,33,2026-04-17T10:52:09.490442Z
624,75,661,91,2372052,32,2026-03-21T21:49:58.680871Z
485,73,267,63,2372052,31,2026-03-20T04:38:41.330732Z
531,46,36,48,2372052,30,2026-03-05T16:51:24.544245Z
299,62,21,73,2372052,29,2026-03-03T15:07:14.019682Z
329,59,237,67,2372052,28,2026-02-27T17:47:54.478508Z
36,49,261,44,2372052,28,2026-02-27T17:47:54.469251Z
267,63,329,57,2372052,26,2026-02-10T15:39:05.046081Z
261,44,684,50,2372052,26,2026-02-10T15:39:05.039157Z
237,67,668,51,2372052,24,2026-01-31T06:21:53.668290Z
449,92,414,85,2372052,23,2026-01-18T18:47:55.892862Z
517,53,485,74,2372052,23,2026-01-18T18:47:55.886252Z
5,66,8,64,2372052,21,2026-01-04T17:06:08.051725Z
684,50,260,50,2372052,20,2026-01-03T09:25:17.626725Z
691,58,136,66,2372052,19,2025-12-30T09:12:08.592570Z
582,64,668,51,2372052,19,2025-12-30T09:12:08.592382Z
160,60,329,56,2372052,19,2025-12-30T09:12:08.592189Z
450,81,21,72,2372052,19,2025-12-30T09:12:08.592002Z
411,53,373,59,2372052,19,2025-12-30T09:12:08.591813Z
5,63,317,45,2372052,19,2025-12-30T09:12:08.591587Z
440,45,295,47,2372052,19,2025-12-30T09:12:08.591382Z
684,50,260,50,2372052,19,2025-12-30T09:12:08.591113Z
370,57,8,64,2372052,19,2025-12-30T09:12:08.590894Z
470,40,1,57,2372052,19,2025-12-30T09:12:08.590608Z
661,90,714,73,2372052,18,2025-12-26T17:02:17.957699Z
21,72,237,65,2372052,18,2025-12-26T17:02:17.957230Z
485,73,16,101,2372052,18,2025-12-26T17:02:17.956705Z
295,47,36,47,2372052,18,2025-12-26T17:02:17.949382Z
329,54,242,50,2372052,17,2025-12-13T18:02:33.958297Z
317,45,436,50,2372052,16,2025-12-10T20:49:04.300678Z
8,65,256,58,2372052,16,2025-12-10T20:49:04.295358Z
414,84,384,75,2372052,15,2025-12-06T05:57:23.661248Z
242,50,299,65,2372052,15,2025-12-06T05:57:23.655967Z
139,44,470,40,2372052,13,2025-11-29T10:04:55.048264Z
136,63,100,45,2372052,12,2025-11-21T21:10:34.991242Z
36,46,5,64,2372052,12,2025-11-21T21:10:34.984989Z
299,65,582,66,2372052,11,2025-11-08T08:37:43.935714Z
714,74,560,55,2372052,9,2025-10-24T09:56:49.887836Z
100,45,249,75,2372052,9,2025-10-24T09:56:49.887536Z
582,68,485,74,2372052,9,2025-10-24T09:56:49.887272Z
16,100,427,56,2372052,9,2025-10-24T09:56:49.886972Z
668,51,158,57,2372052,9,2025-10-24T09:56:49.886717Z
436,50,568,55,2372052,9,2025-10-24T09:56:49.886428Z
470,40,600,43,2372052,9,2025-10-24T09:56:49.886018Z
485,74,449,90,2372052,8,2025-10-16T16:28:51.038878Z
5,62,610,43,2372052,7,2025-10-01T15:32:24.363435Z
260,48,477,51,2372052,7,2025-10-01T15:32:24.355649Z
560,55,362,52,2372052,6,2025-09-27T05:08:37.523389Z
256,55,6,60,2372052,4,2025-09-07T09:20:30.236329Z
477,51,402,60,2372052,3,2025-08-30T09:16:22.333956Z
6,60,370,60,2372052,2,2025-08-22T11:43:21.296745Z
