event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,70,70,958151,1070826,958151,15,0,1000,0,0,9
2,65,135,1516249,1570430,371570,15,0,1001,0,0,9
3,50,185,4593878,4694809,520172,45,0,1005,0,0,14
4,89,274,252833,268688,112727,5,0,1003,0,0,11
5,50,324,2911725,2978827,111310,25,1,1010,1,0,13
6,87,411,81831,85496,16888,1,15,1014,1,0,12
7,84,495,681770,697068,7154,10,19,1018,2,0,12
8,98,593,32698,34257,505,1,19,1025,0,0,0
9,45,638,6387090,6420151,1292,55,6,1027,2,0,19
10,80,718,1745930,1776941,1346,15,13,1033,2,0,8
11,49,767,1801836,1848614,620,15,13,1037,1,0,5
12,57,824,972746,994776,263,10,17,1043,1,0,8
13,71,895,86318,102214,25,1,17,1046,0,0,2
14,79,974,1189370,1218479,22,10,2,1047,1,0,1
15,58,1032,2968900,3014682,20,25,8,1048,1,0,5
16,72,1104,2776184,2819108,55,25,29,1042,5,0,4
17,80,1184,3120819,3157145,69,25,19,1046,1,0,4
18,50,1230,3815205,3855477,96,35,4,1047,2,4,1
19,38,1268,7572950,7639587,134,60,15,1046,1,0,2
20,72,1340,191414,197742,44,5,10,1044,1,0,1
21,52,1388,5260127,5292426,86,45,0,1042,2,4,11
22,46,1434,3599650,3642356,66,30,11,1043,1,0,7
23,33,1467,10930426,10965853,126,90,0,1046,1,0,13
24,65,1532,2745850,2780901,138,25,1,1047,1,0,3
25,76,1608,1070984,1099936,112,10,14,1052,1,0,17
26,80,1688,759747,801061,69,10,14,1054,0,0,16
27,64,1752,662870,707274,21,10,14,1054,0,0,14
28,75,1827,1481953,1505159,25,15,0,1057,2,0,2
29,70,1897,2454822,2480448,21,20,20,1055,1,0,6
30,66,1963,307402,331287,11,5,20,1060,0,0,19
31,51,2014,3358632,3378304,20,30,44,1063,1,0,2
32,69,2083,603381,653889,12,5,39,1057,0,0,12
33,134,2217,60249,63768,3,1,55,1050,2,0,0
34,58,2275,1185939,1264482,4,10,55,1050,0,0,8
35,47,2322,8178254,8206617,10,65,25,1052,1,0,20
36,71,2393,5596731,5616649,18,45,15,1055,2,0,18
37,29,2422,4577241,4617041,17,40,15,1057,1,0,7
