name,time,event
wildcard,2025-08-31T23:59:50.197865Z,4
3xc,2025-09-26T16:07:40.661200Z,6
bboost,2025-10-17T18:02:01.366849Z,8
freehit,2025-12-05T12:03:48.479856Z,15
wildcard,2026-01-24T18:15:32.497796Z,24
3xc,2026-02-06T20:22:31.017385Z,26
bboost,2026-04-10T22:15:24.582552Z,33
freehit,2026-04-18T11:26:20.298384Z,34
