season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2020/21,490094,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00
2021/22,490094,45,45,4,90,0,0,1,0,0,0,0,1,0,0,0,17,10.6,2.0,4.0,1.7,0,0,0,0,0,0.00,0.00,0.00,0.00
2022/23,490094,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00
2023/24,490094,45,44,10,157,0,0,0,7,0,0,0,0,0,0,0,29,18.6,4.0,0.0,2.1,0,0,0,0,1,0.00,0.00,0.00,4.95
2024/25,490094,45,43,22,562,0,1,0,16,0,0,0,4,0,0,0,82,122.2,40.9,32.0,19.6,0,0,0,111,5,0.23,0.14,0.37,12.25
