id,name,short_name,created,closed,rank,max_entries,league_type,scoring,admin_entry,start_event,entry_can_leave,entry_can_admin,entry_can_invite,has_cup,cup_league,cup_qualified,rank_count,entry_percentile_rank,active_phases,featured_entry_ids,entry_rank,entry_last_rank
140854,🎗️SPIRITO H2H 25/26,,2025-07-21T22:33:45.986172Z,True,,,x,h,18852,1,False,False,False,False,,,,,[],[],4,4
243767,BERTAM SUPER CUP 11,,2025-07-23T07:47:25.012854Z,True,,,x,h,1399310,2,False,False,False,False,,,,,[],[],1,1
396729,RMPG MOTO GP 25/26,,2025-07-26T01:26:27.515470Z,True,,,x,h,46231,1,False,False,False,False,,,,,[],[],7,7
440778,GRADUAN FANTASI 🎓 H2H,,2025-07-27T08:13:02.944946Z,True,,,x,h,120782,1,False,False,False,False,,,,,[],[],1,1
648457,Manjung E-Sport Association,,2025-08-01T00:58:49.366868Z,True,,,x,h,3268140,1,False,False,False,False,,,,,[],[],4,4
691100,RMPG QUARTERLY [25/26],,2025-08-02T04:34:08.548761Z,True,,,x,h,1408907,1,False,False,False,False,,,,,[],[],21,21
866598,MULTIVERSE H2H 2025/26,,2025-08-06T02:55:59.100698Z,True,,,x,h,1127019,1,False,False,False,False,,,,,[],[],1,1
1107670,DIVISION F1,,2025-08-10T04:00:17.337683Z,True,,,x,h,4880418,1,False,False,False,False,,,,,[],[],5,5
1116281,SK CHAMPION TOP MANAGER 25/26,,2025-08-10T08:29:15.448574Z,True,,,x,h,44816,1,False,False,False,False,,,,,[],[],8,8
1226430,⭐LIGA H2H PAK SHEIKH 5.0⭐,,2025-08-11T11:49:58.535151Z,True,,,x,h,103508,1,False,False,False,False,,,,,[],[],1,1
1277509,SK CABARAN WANITA 25/26,,2025-08-11T19:39:21.650837Z,True,,,x,h,19079,1,False,False,False,False,,,,,[],[],1,1
