name,time,event
bboost,2025-08-16T19:08:25.117537Z,2
wildcard,2025-09-20T21:02:30.428650Z,6
freehit,2025-11-28T10:36:13.424168Z,13
3xc,2025-12-15T11:20:55.320035Z,17
3xc,2026-02-09T09:21:29.052947Z,26
wildcard,2026-04-10T13:42:01.448276Z,32
bboost,2026-04-13T10:21:47.042365Z,33
freehit,2026-04-20T14:56:02.275869Z,34
