name,time,event
3xc,2025-09-27T09:48:32.751306Z,6
freehit,2025-11-20T20:47:40.573903Z,12
wildcard,2025-11-30T20:39:13.776847Z,14
bboost,2025-12-09T17:17:02.955127Z,16
3xc,2026-02-10T00:01:11.328723Z,26
freehit,2026-04-15T18:13:38.348131Z,33
wildcard,2026-04-19T18:02:54.362321Z,34
bboost,2026-05-02T22:13:54.695329Z,36
