event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,65,65,1743774,1815590,1743774,20,0,1000,0,0,19
2,56,121,3570435,3612606,1551969,35,0,1000,0,0,9
3,59,180,1920624,1939653,825413,20,4,1002,1,0,21
4,86,266,434950,447167,239885,5,4,1003,0,0,6
5,44,310,5475013,5491652,355635,50,2,1009,2,0,15
6,65,375,1862308,1882890,308604,20,2,1012,0,0,14
7,90,465,220130,225044,91936,5,7,1015,1,0,7
8,67,532,3011058,3027271,112624,25,3,1023,2,0,17
9,62,594,1386634,1413759,52676,15,3,1024,0,0,18
10,79,673,1928138,1951045,45706,20,11,1029,1,0,17
11,64,737,140597,141110,9037,5,1,1033,3,0,0
12,44,781,3779980,3821965,10412,35,1,1040,0,0,2
13,51,832,1123406,1145023,7087,10,5,1032,0,0,5
14,59,891,6582612,6624367,17256,55,5,1035,0,0,3
15,60,951,2492632,2507136,13732,20,1,1037,2,0,11
16,78,1029,1469912,1479035,13943,15,1,1039,0,0,28
17,104,1133,204517,205617,3642,5,25,1040,5,0,11
18,41,1174,7474955,7534915,5725,60,25,1044,0,0,7
19,46,1220,3831973,3846514,4215,35,24,1042,2,0,16
20,67,1287,441499,448144,1811,5,12,1041,1,0,22
21,73,1360,259011,266904,598,5,12,1044,0,0,6
22,41,1401,5573820,5646183,677,45,12,1049,0,0,23
23,40,1441,8256330,8272712,770,65,21,1057,2,0,17
24,75,1516,617251,633686,425,5,21,1060,0,0,4
25,74,1590,1452177,1472048,384,15,11,1057,1,0,13
26,70,1660,2592432,2633912,398,25,11,1058,0,0,4
27,60,1720,1334741,1336474,191,15,4,1054,3,0,11
28,80,1800,745649,760348,144,10,4,1057,0,0,4
29,68,1868,2912967,2922784,134,25,0,1051,2,0,27
30,47,1915,4480122,4550128,237,35,0,1055,0,0,1
31,78,1993,31268,33541,95,1,0,1053,0,0,12
32,52,2045,4550288,4622166,150,40,0,1054,0,0,12
33,81,2126,2795908,2802763,1018,25,16,1051,1,0,4
34,55,2181,1738836,1741090,1369,15,4,1047,4,0,0
35,59,2240,3095859,3160879,1135,25,4,1052,0,0,5
36,78,2318,3733553,3748767,1373,30,14,1053,1,0,26
37,34,2352,2927811,2973093,893,25,21,1047,0,0,7
