season_name,total_points,rank
2014/15,1946,387522
2015/16,2189,52313
2016/17,2299,11739
2017/18,2071,661182
2018/19,2157,461332
2019/20,2315,34582
2020/21,2491,10034
2021/22,2415,269824
2022/23,2380,798645
2023/24,2266,1381254
2024/25,2257,2045564
