event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,50,50,5781366,5993951,5781357,65,0,1000,0,0,4
2,42,92,7951736,8032512,7012665,75,0,1000,0,0,4
3,49,141,5226808,5283652,6365270,50,0,999,2,0,3
4,54,195,8820112,8888074,7035970,80,0,997,0,0,8
5,51,246,2385748,2484743,5902716,25,0,996,0,0,-2
6,69,315,1227843,1295888,3553110,15,0,999,0,0,9
7,91,406,165379,174143,1829356,5,0,1003,0,0,0
8,70,476,2053797,2122462,1543551,20,0,1010,0,0,16
9,39,515,8476092,8604035,1993583,70,0,1010,0,0,4
10,93,608,189945,192257,1086367,5,4,1008,3,0,13
11,46,654,2780845,2809692,912490,25,1,1011,2,0,10
12,56,710,1103137,1125861,550844,10,5,1013,1,0,16
13,80,790,11690,13303,101648,1,5,1014,0,0,1
14,83,873,688215,697968,51229,10,3,1014,2,0,3
15,62,935,1993094,2023391,36561,20,15,1020,1,0,15
16,81,1016,1086814,1094070,30396,10,3,1028,2,0,3
17,88,1104,1440250,1471965,21901,15,3,1034,0,0,5
18,43,1147,6898167,6942546,28240,55,5,1033,2,0,11
19,50,1197,2165402,2259001,16946,20,5,1031,0,0,5
20,51,1248,2969308,3069583,18483,25,5,1031,0,0,8
21,59,1307,2751854,2796355,16131,25,6,1029,1,0,12
22,46,1353,3651972,3679098,12888,30,27,1027,2,0,12
23,48,1401,4515786,4560533,9177,40,17,1026,1,0,13
24,76,1477,570105,581487,4984,5,4,1027,1,0,1
25,71,1548,2204686,2248731,5077,20,28,1029,1,0,2
26,73,1621,2024873,2053159,4169,20,14,1029,1,0,3
27,55,1676,2231460,2325674,2755,20,14,1029,0,0,7
28,70,1746,2376893,2399832,3693,20,27,1029,2,0,0
29,71,1817,2125627,2194124,2443,20,27,1031,0,0,4
30,77,1894,30181,31502,806,1,33,1033,1,0,13
31,60,1954,1542404,1560694,840,15,33,1037,1,0,0
32,58,2012,2553534,2709420,900,20,1,1024,0,0,12
33,132,2144,76782,78223,360,1,61,1018,2,0,0
34,58,2202,1185939,1255781,422,10,61,1018,0,0,6
35,56,2258,4466122,4500537,418,35,22,1019,1,0,16
36,72,2330,5357073,5367614,733,45,7,1021,3,0,17
37,21,2351,7545478,7561541,955,60,0,1023,2,0,13
