event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,61,61,2607688,2648051,2607687,30,0,1000,0,0,20
2,52,113,4819979,4843009,2841827,45,0,1001,0,0,12
3,44,157,7150085,7163951,3706425,65,0,1002,2,0,6
4,90,247,208407,211658,1027654,5,4,1001,0,0,26
5,57,304,962971,975317,536693,10,4,1008,0,0,12
6,80,384,266643,268626,167364,5,4,1012,0,0,9
7,82,466,953563,955318,86586,10,36,1015,3,0,8
8,75,541,1153272,1162837,60142,10,36,1026,0,0,5
9,59,600,2135797,2143564,34575,20,20,1028,1,0,9
10,69,669,5124189,5138412,59156,45,11,1032,1,0,14
11,47,716,2442242,2449373,41331,20,24,1033,2,0,3
12,43,759,4329770,4344929,46557,35,27,1030,1,0,3
13,62,821,288747,294010,15435,5,27,1029,0,0,6
14,72,893,2703350,2716222,15277,25,4,1027,1,0,7
15,53,946,4589322,4605065,18784,40,1,1027,1,0,10
16,77,1023,1698255,1702955,20298,15,2,1026,3,0,13
17,91,1114,1128212,1131067,12457,10,3,1027,3,0,3
18,52,1166,3048164,3056827,9641,25,13,1030,1,0,24
19,53,1219,1594483,1599186,4585,15,6,1034,1,0,0
20,41,1260,6601797,6611269,9659,55,1,1036,1,0,1
21,57,1317,3395272,3408394,9454,30,9,1031,1,0,5
22,55,1372,1042222,1050535,4437,10,9,1033,0,0,11
23,34,1406,10379016,10402736,6951,85,9,1034,0,0,14
24,84,1490,122519,123137,2367,1,5,1031,3,0,1
25,76,1566,1070984,1079171,1804,10,28,1034,1,0,5
26,86,1652,329215,331449,709,5,5,1036,1,0,6
27,44,1696,7080717,7096726,884,60,0,1039,1,0,15
28,80,1776,794066,799513,664,10,46,1041,1,0,0
29,77,1853,1257282,1262257,324,10,34,1040,1,0,2
30,52,1905,2688946,2712808,441,25,34,1043,0,0,15
31,61,1962,1414684,1418562,541,15,34,1034,3,4,0
32,53,2015,4192241,4228089,800,35,3,1029,0,0,10
33,124,2139,192611,194331,521,5,27,1025,1,0,0
34,63,2202,657018,667962,437,10,27,1025,0,0,5
35,46,2248,8564551,8571277,772,70,5,1028,1,0,15
36,87,2335,1632626,1642779,585,15,5,1030,0,0,11
37,29,2364,4622469,4627824,487,40,4,1031,2,0,2
