event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,48,48,6360211,6480373,6360201,70,0,1000,0,0,6
2,48,96,6140282,6197537,6319989,60,0,1000,0,0,12
3,47,143,6003068,6037196,6059108,55,7,999,2,0,4
4,83,226,714713,735998,3097693,10,7,996,0,0,12
5,63,289,312546,324333,1321949,5,7,1002,0,0,8
6,83,372,162169,165054,371585,5,7,1006,0,0,7
7,63,435,5614709,5630327,574000,50,27,1009,2,0,6
8,80,515,613323,626384,302937,10,27,1017,0,0,13
9,58,573,2417184,2430987,196702,20,2,1017,2,0,10
10,79,652,1814188,1848392,160789,15,2,1021,0,0,8
11,49,701,1801836,1828737,103428,15,30,1024,1,0,14
12,60,761,606421,619384,40093,5,30,1029,0,0,20
13,72,833,83695,84160,6469,1,19,1031,1,0,0
14,67,900,4305634,4325147,9466,35,0,1035,2,0,3
15,74,974,504097,505760,2918,5,0,1035,3,0,6
16,74,1048,2259509,2266674,4088,20,3,1043,2,0,9
17,82,1130,2543657,2574100,4387,25,3,1048,0,0,3
18,37,1167,9587093,9596059,8971,80,1,1049,3,0,14
19,52,1219,1655584,1696083,4503,15,1,1048,0,0,9
20,53,1272,2446071,2497736,4661,20,1,1047,0,0,4
21,52,1324,4956068,5029590,6142,40,1,1043,0,0,6
22,52,1376,1767319,1775187,3455,15,10,1036,2,0,7
23,35,1411,10332165,10345690,5162,85,4,1036,2,0,18
24,75,1486,617251,636354,2965,5,4,1037,0,0,1
25,61,1547,5863018,5891436,5394,50,29,1041,1,0,3
26,76,1623,1442365,1454140,3739,15,0,1042,2,0,10
27,45,1668,6188421,6291733,4346,50,0,1041,0,0,19
28,86,1754,293513,301980,2362,5,0,1043,0,0,9
29,59,1813,5203911,5216186,3045,45,0,1043,2,0,8
30,63,1876,547027,570179,2287,5,0,1046,0,0,19
31,59,1935,1751474,1768122,2391,15,32,1047,2,0,13
32,69,2004,603381,629998,1406,5,4,1044,0,0,12
33,134,2138,60249,62587,535,1,43,1038,2,0,0
34,57,2195,1327992,1366231,618,15,43,1038,0,0,15
35,48,2243,7769722,7794717,971,60,22,1039,1,0,16
36,81,2324,3031146,3049656,1023,25,41,1042,2,0,16
37,32,2356,3658329,3680777,746,30,26,1044,1,0,11
