event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,71,71,838026,891623,838026,10,15,1000,0,0,5
2,43,114,7829949,7869111,2745267,75,30,1001,1,0,12
3,60,174,1693658,1715474,1350449,15,60,1003,1,0,3
4,63,237,5927176,5978821,1848585,55,60,1004,0,0,3
5,61,298,465198,483135,790209,5,6,1000,0,0,12
6,67,365,1548960,1574480,555915,15,6,1004,0,0,15
7,63,428,5394519,5442436,794512,45,6,1012,0,0,4
8,69,497,2298103,2338374,716858,20,6,1016,0,0,18
9,53,550,3548978,3601080,605228,30,6,1017,0,0,10
10,78,628,2311938,2313225,515780,20,14,1015,5,0,5
11,56,684,593365,605204,259876,5,2,1022,1,0,7
12,53,737,1584099,1603859,161676,15,9,1022,1,0,8
13,50,787,1262874,1291806,119249,15,9,1023,0,0,9
14,81,868,926961,935346,67988,10,6,1024,2,0,10
15,74,942,485919,491168,24133,5,11,1027,1,0,0
16,112,1054,4820,4887,2655,1,11,1034,0,0,3
17,106,1160,148231,149308,509,5,4,1031,5,0,17
18,68,1228,334255,337968,107,5,14,1036,1,0,7
19,48,1276,3020828,3044254,68,25,18,1039,1,0,19
20,45,1321,5122524,5148272,163,45,4,1040,1,0,10
21,53,1374,4828470,4859653,221,40,5,1038,1,0,10
22,41,1415,5907189,5950195,266,50,7,1042,1,0,12
23,28,1443,12031334,12040554,667,95,3,1045,1,0,10
24,75,1518,678555,688072,377,10,10,1046,1,0,6
25,65,1583,4278094,4313578,610,35,4,1048,1,0,4
26,58,1641,6840111,6863568,1351,55,20,1050,1,0,5
27,54,1695,2509131,2568806,912,20,3,1038,0,0,9
28,67,1762,2846572,2889800,1490,25,3,1044,0,0,0
29,87,1849,358597,361866,387,5,13,1037,2,0,4
30,57,1906,1410031,1458046,399,15,13,1044,0,0,10
31,51,1957,3358632,3371539,699,30,63,1043,1,0,8
32,60,2017,2261295,2272160,700,20,7,1043,2,0,2
33,89,2102,1935283,1943457,3482,15,18,1041,2,4,0
34,86,2188,4888,5435,934,1,18,1041,0,0,12
35,58,2246,3700532,3724203,859,30,15,1045,1,0,16
36,80,2326,3236742,3255586,926,25,51,1046,1,0,9
37,28,2354,4906980,4931190,823,40,30,1048,1,0,2
