season_name,total_points,rank
2008/09,1537,1015079
2009/10,1958,537944
2010/11,1872,372476
2011/12,2074,62198
2012/13,1968,309633
2013/14,2123,555317
2014/15,1829,956202
2015/16,2184,57819
2016/17,2103,232373
2017/18,2117,406139
2018/19,2236,165317
2019/20,2122,742321
2020/21,2428,49992
2021/22,2262,840801
2022/23,2439,420828
2023/24,2317,888455
2024/25,2392,625466
