name,time,event
wildcard,2025-09-05T23:32:12.738455Z,4
3xc,2025-09-22T15:07:10.101817Z,6
bboost,2025-12-13T16:23:13.204281Z,17
freehit,2025-12-20T12:18:28.433019Z,18
wildcard,2026-04-06T22:02:54.414835Z,32
bboost,2026-04-11T09:30:33.006909Z,33
freehit,2026-04-22T06:24:48.637067Z,34
3xc,2026-05-01T19:05:17.951551Z,36
