element_in,element_in_cost,element_out,element_out_cost,entry,event,time
21,72,84,54,641468,37,2026-05-12T11:55:17.212918Z
329,59,354,49,641468,36,2026-05-06T10:08:02.725797Z
16,98,235,104,641468,36,2026-05-05T23:08:56.459726Z
500,54,560,50,641468,34,2026-04-24T13:45:57.344081Z
624,77,136,74,641468,34,2026-04-24T13:45:57.343803Z
299,62,387,71,641468,34,2026-04-24T13:14:19.920328Z
21,72,242,51,641468,34,2026-04-24T12:51:02.203023Z
560,50,624,77,641468,34,2026-04-24T12:51:02.202793Z
387,71,717,65,641468,34,2026-04-24T12:51:02.202553Z
606,44,683,41,641468,34,2026-04-23T19:08:55.055682Z
447,37,233,37,641468,34,2026-04-22T19:24:51.699427Z
233,37,291,57,641468,34,2026-04-22T06:33:40.309978Z
683,41,72,49,641468,34,2026-04-22T06:33:40.309632Z
136,74,178,62,641468,34,2026-04-22T06:33:40.309227Z
64,86,430,143,641468,34,2026-04-22T06:33:40.308903Z
624,77,691,56,641468,34,2026-04-22T06:33:40.308589Z
242,51,84,54,641468,34,2026-04-22T06:33:40.308313Z
717,65,354,49,641468,34,2026-04-22T06:33:40.308091Z
515,75,235,105,641468,34,2026-04-22T06:33:40.307886Z
381,140,82,82,641468,34,2026-04-22T06:33:40.307674Z
568,51,411,50,641468,34,2026-04-22T06:33:40.307373Z
373,62,151,45,641468,34,2026-04-22T06:33:40.306996Z
1,60,470,40,641468,34,2026-04-22T06:33:40.306551Z
567,39,139,45,641468,34,2026-04-22T06:33:40.306007Z
691,56,624,76,641468,33,2026-04-14T13:12:26.893487Z
235,106,119,86,641468,32,2026-04-10T16:12:30.312281Z
178,62,249,78,641468,32,2026-04-10T13:49:31.789333Z
119,86,163,51,641468,32,2026-04-10T13:49:31.789040Z
291,57,36,47,641468,32,2026-04-10T13:46:58.313220Z
36,47,706,39,641468,32,2026-04-10T13:39:11.029101Z
354,49,47,74,641468,32,2026-04-10T10:38:20.142671Z
163,51,267,63,641468,32,2026-04-10T10:38:20.142186Z
706,39,77,42,641468,32,2026-04-09T14:35:04.108282Z
267,63,157,61,641468,32,2026-04-08T22:23:31.937207Z
157,61,485,74,641468,32,2026-04-08T22:20:04.324635Z
77,42,36,47,641468,32,2026-04-07T21:08:03.083129Z
47,74,235,106,641468,32,2026-04-07T20:56:06.186448Z
485,74,783,55,641468,32,2026-04-07T20:56:06.186205Z
624,76,136,68,641468,32,2026-04-07T20:56:06.185851Z
235,106,485,73,641468,32,2026-04-06T22:03:30.240937Z
82,82,329,60,641468,32,2026-04-06T22:03:30.240745Z
249,78,661,89,641468,32,2026-04-06T22:03:30.240547Z
470,40,220,48,641468,32,2026-04-06T22:03:30.240338Z
139,45,67,45,641468,32,2026-04-06T22:03:30.240099Z
411,50,373,61,641468,32,2026-04-06T22:03:30.239867Z
36,47,317,45,641468,32,2026-04-06T22:03:30.239655Z
783,55,299,62,641468,32,2026-04-06T22:03:30.239376Z
485,73,82,81,641468,31,2026-03-17T23:23:35.755416Z
329,60,21,69,641468,31,2026-03-17T23:23:35.749158Z
299,62,547,49,641468,29,2026-02-28T14:08:09.431780Z
317,45,8,61,641468,29,2026-02-28T14:08:09.427002Z
373,59,684,50,641468,27,2026-02-19T11:22:16.378783Z
82,79,16,99,641468,26,2026-02-07T15:40:20.673665Z
5,71,568,52,641468,26,2026-02-07T15:40:20.665719Z
449,94,82,77,641468,24,2026-01-26T09:49:29.125000Z
84,55,387,66,641468,23,2026-01-19T21:43:31.362165Z
82,76,488,70,641468,23,2026-01-19T21:43:31.357315Z
387,66,450,81,641468,22,2026-01-14T08:59:08.676237Z
568,52,260,52,641468,20,2026-01-02T21:22:53.508406Z
450,81,414,85,641468,19,2025-12-29T15:24:14.280409Z
731,58,386,62,641468,18,2025-12-26T12:19:04.117016Z
7,57,373,59,641468,18,2025-12-23T14:16:09.671699Z
664,39,470,40,641468,18,2025-12-23T14:16:09.671457Z
295,47,638,38,641468,18,2025-12-23T14:16:09.671175Z
386,62,547,49,641468,18,2025-12-23T14:16:09.670822Z
450,80,414,84,641468,18,2025-12-23T14:16:09.670533Z
252,43,136,67,641468,18,2025-12-23T14:16:09.670273Z
382,81,329,57,641468,18,2025-12-23T14:16:09.669963Z
670,48,366,54,641468,18,2025-12-23T14:16:09.669643Z
120,70,497,44,641468,18,2025-12-21T22:44:54.774920Z
329,57,449,93,641468,18,2025-12-21T22:44:54.774541Z
638,38,295,46,641468,18,2025-12-21T13:01:13.794895Z
447,38,725,55,641468,18,2025-12-21T13:01:13.794623Z
661,88,252,42,641468,18,2025-12-21T13:01:13.794184Z
497,44,387,67,641468,18,2025-12-21T13:01:13.793616Z
252,42,661,86,641468,18,2025-12-20T12:18:48.930827Z
449,93,21,68,641468,18,2025-12-20T12:18:48.930351Z
387,67,488,69,641468,18,2025-12-20T12:18:48.929876Z
725,55,151,45,641468,18,2025-12-20T12:18:48.929399Z
295,46,260,52,641468,18,2025-12-20T12:18:48.928915Z
291,55,72,47,641468,18,2025-12-20T12:18:48.928406Z
373,59,684,50,641468,18,2025-12-20T12:18:48.927948Z
470,40,67,45,641468,18,2025-12-20T12:18:48.927469Z
366,54,220,49,641468,18,2025-12-20T12:18:48.926930Z
260,52,256,57,641468,17,2025-12-13T16:22:57.866775Z
661,85,283,77,641468,17,2025-12-13T16:22:57.861207Z
151,45,347,39,641468,16,2025-12-08T00:14:24.690458Z
16,101,449,89,641468,16,2025-12-07T12:38:40.852586Z
488,69,82,75,641468,16,2025-12-07T12:38:40.846054Z
547,49,267,65,641468,16,2025-12-07T12:24:11.892731Z
684,50,36,46,641468,15,2025-12-03T13:49:49.607328Z
449,89,582,65,641468,14,2025-11-30T13:26:08.015858Z
36,46,5,63,641468,13,2025-11-25T14:13:28.907920Z
267,67,419,67,641468,12,2025-11-10T11:02:05.915678Z
136,63,714,74,641468,12,2025-11-10T11:02:05.909389Z
8,60,575,46,641468,10,2025-10-26T15:53:55.110814Z
714,75,249,75,641468,10,2025-10-25T16:00:56.214213Z
21,65,669,60,641468,8,2025-10-05T15:17:26.708553Z
5,62,477,51,641468,7,2025-10-02T08:32:20.622749Z
414,80,235,104,641468,6,2025-09-25T16:36:38.939075Z
235,104,384,76,641468,5,2025-09-19T11:05:32.243922Z
582,66,580,71,641468,4,2025-09-12T13:54:14.845170Z
82,74,267,65,641468,4,2025-09-12T13:40:06.805899Z
580,71,717,70,641468,4,2025-09-12T11:24:53.588948Z
477,51,145,45,641468,4,2025-09-11T12:06:54.313956Z
347,40,603,45,641468,4,2025-09-11T12:05:20.573935Z
419,67,299,65,641468,4,2025-09-10T22:40:16.655157Z
717,70,119,81,641468,4,2025-09-10T09:59:48.742477Z
119,81,82,74,641468,4,2025-09-09T13:42:24.496186Z
283,75,661,87,641468,4,2025-09-08T11:56:58.904790Z
67,45,470,40,641468,4,2025-09-08T11:33:56.960493Z
603,45,508,50,641468,4,2025-09-08T11:33:56.960211Z
145,45,260,46,641468,4,2025-09-07T17:51:45.196706Z
256,55,38,45,641468,4,2025-09-07T17:51:45.196393Z
82,74,449,90,641468,4,2025-09-07T17:51:45.196038Z
575,46,603,45,641468,4,2025-09-06T12:58:27.036341Z
661,87,499,104,641468,4,2025-09-06T12:57:58.242473Z
267,65,381,145,641468,4,2025-09-05T23:32:19.360488Z
430,141,597,66,641468,4,2025-09-05T23:32:19.360192Z
449,90,427,56,641468,4,2025-09-05T23:32:19.359870Z
72,46,441,45,641468,4,2025-09-05T23:32:19.359607Z
260,46,191,40,641468,4,2025-09-05T23:32:19.359231Z
499,104,97,70,641468,4,2025-09-05T09:17:28.919193Z
669,60,235,105,641468,3,2025-08-29T16:14:59.659968Z
597,66,64,90,641468,3,2025-08-24T13:34:08.127275Z
249,75,624,79,641468,3,2025-08-23T00:03:55.937612Z
