season_name,total_points,rank
2011/12,1674,1357261
2012/13,1724,1334816
2013/14,2088,690432
2014/15,1904,567063
2015/16,2218,27962
2016/17,2101,236917
2017/18,2044,839295
2018/19,2155,471175
2019/20,2315,34181
2020/21,2498,8175
2021/22,2335,516109
2022/23,2499,174529
2023/24,2522,45750
2024/25,2628,3494
