event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,64,64,1939861,1939940,1939861,25,0,1000,0,0,6
2,50,114,5479611,5479749,2656795,55,0,1002,0,0,10
3,66,180,666580,666602,810872,10,0,1003,0,0,15
4,69,249,3860408,3860464,888535,35,3,1001,0,0,6
5,58,307,809507,809561,431083,10,3,1006,0,0,17
6,71,378,1034355,1034399,252826,10,27,1007,2,0,4
7,77,455,1763930,1763964,182414,15,4,1010,1,0,12
8,93,548,81778,81790,35383,1,4,1018,0,0,16
9,40,588,8044269,8044408,78432,70,4,1021,0,0,8
10,87,675,611104,611120,39845,5,0,1025,3,0,6
11,44,719,3220461,3220524,32956,30,0,1030,0,0,6
12,49,768,2457927,2457991,25310,20,4,1031,1,0,7
13,65,833,220400,220401,6502,5,0,1030,2,0,8
14,72,905,2760751,2760792,6724,25,3,1030,2,0,7
15,69,974,909301,909319,2853,10,15,1031,1,0,5
16,80,1054,1228532,1228597,2695,10,13,1035,3,0,5
17,99,1153,414439,414443,863,5,5,1039,3,0,0
18,39,1192,8664383,8664411,1681,70,18,1043,1,0,15
19,32,1224,10315509,10315556,3257,85,28,1042,1,0,9
20,54,1278,2357536,2357577,3256,20,11,1040,1,0,1
21,56,1334,3739456,3739502,3505,30,0,1041,1,0,9
22,35,1369,8776682,8776739,5311,70,0,1040,0,0,8
23,54,1423,2475295,2475311,2530,20,3,1036,2,0,15
24,69,1492,1686771,1686813,2085,15,2,1037,1,0,9
25,63,1555,4806831,4806867,3482,40,2,1039,0,0,12
26,82,1637,618854,618868,1702,5,12,1040,1,0,9
27,47,1684,5195045,5195155,1774,45,12,1040,0,0,16
28,87,1771,285434,285448,877,5,3,1040,3,0,6
29,61,1832,4427975,4428041,1089,35,3,1046,0,0,14
30,70,1902,135928,135985,525,5,3,1051,0,0,17
31,58,1960,1808269,1808308,590,15,3,1054,0,0,6
32,70,2030,512082,512142,326,5,6,1040,0,0,11
33,134,2164,60249,60289,99,1,41,1036,2,0,0
34,57,2221,1327992,1328130,136,15,41,1036,0,0,6
35,48,2269,7769722,7769879,227,60,21,1038,1,0,16
36,72,2341,5331799,5331858,408,45,27,1041,2,0,17
37,20,2361,7914160,7914220,556,65,20,1043,2,0,14
