name,time,event
bboost,2025-08-21T19:58:10.271511Z,2
freehit,2025-09-10T06:18:18.532221Z,4
3xc,2025-09-27T06:13:18.246657Z,6
wildcard,2025-11-20T19:09:41.591752Z,12
3xc,2026-02-06T19:36:06.400902Z,26
wildcard,2026-03-20T23:14:09.515898Z,32
bboost,2026-04-10T19:19:12.529371Z,33
freehit,2026-04-22T16:30:10.815210Z,34
