name,time,event
bboost,2025-08-05T14:59:11.608462Z,1
wildcard,2025-08-21T00:47:05.897311Z,2
3xc,2025-09-26T23:19:11.021188Z,6
freehit,2025-11-29T01:03:58.655819Z,13
wildcard,2026-04-10T17:27:54.082480Z,32
bboost,2026-04-18T00:32:39.308799Z,33
freehit,2026-04-23T20:55:13.631501Z,34
3xc,2026-05-08T22:12:01.294647Z,36
