event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,69,69,1090649,1147855,1090649,15,5,1000,0,0,10
2,50,119,5658023,5702174,1902632,55,19,1000,1,0,3
3,41,160,8141849,8173297,3207127,75,13,1003,1,0,2
4,82,242,834037,856550,1397807,10,21,1004,0,0,16
5,47,289,4067237,4106143,1333935,35,6,1010,1,0,22
6,81,370,239152,243800,424458,5,9,1016,1,0,17
7,75,445,2098768,2135551,336480,20,9,1020,0,0,12
8,70,515,2172246,2196532,304377,20,8,1027,1,0,20
9,44,559,6763654,6781644,409390,60,8,1028,2,0,9
10,81,640,1481259,1502363,301039,15,8,1034,1,0,16
11,45,685,2845634,2902632,247393,25,8,1037,0,0,11
12,48,733,2782557,2799835,199828,25,1,1037,2,0,2
13,46,779,2134187,2154492,180467,20,16,1039,1,0,8
14,73,852,2285757,2328247,153468,20,16,1039,0,0,13
15,65,917,1470623,1480650,95852,15,21,1042,2,0,12
16,74,991,2275279,2285681,106717,20,7,1043,3,0,0
17,87,1078,1594823,1613494,85600,15,7,1044,0,0,5
18,60,1138,1162549,1167459,46065,10,17,1043,3,0,14
19,37,1175,8073697,8110900,55211,65,1,1045,1,0,8
20,74,1249,133857,136567,17877,5,5,1045,1,0,4
21,48,1297,6444874,6511556,27519,55,5,1047,0,0,11
22,50,1347,2250639,2264077,17888,20,0,1046,1,0,6
23,45,1392,5898494,5916195,15402,50,1,1046,2,0,1
24,72,1464,1101223,1113157,10548,10,16,1047,1,0,1
25,67,1531,3521813,3553404,13082,30,0,1049,1,0,6
26,90,1621,152334,156396,4222,5,0,1051,0,0,14
27,53,1674,3091574,3102880,3157,25,1,1051,2,0,6
28,75,1749,1450259,1465711,3185,15,11,1055,1,0,3
29,91,1840,188703,190954,699,5,36,1055,1,0,6
30,57,1897,1540053,1559745,717,15,23,1059,1,0,18
31,58,1955,1917056,1929942,814,15,13,1061,1,0,0
32,70,2025,512082,533115,468,5,16,1046,0,0,13
33,117,2142,330351,332954,428,5,29,1047,1,0,0
34,58,2200,1185939,1229168,481,10,29,1050,0,0,18
35,58,2258,3431879,3505906,427,30,29,1054,0,0,16
36,93,2351,857630,869711,226,10,23,1054,2,0,25
37,31,2382,3949636,3970747,179,35,25,1056,1,0,4
