season_name,total_points,rank
2017/18,1576,4380202
2018/19,1941,2604426
2019/20,1928,2741413
2020/21,1981,2800120
2021/22,2202,1182716
2022/23,2348,1058091
2023/24,2070,3921535
2024/25,2289,1642179
