element_in,element_in_cost,element_out,element_out_cost,entry,event,time
16,100,235,103,4537055,37,2026-05-15T09:08:13.036985Z
21,72,157,61,4537055,37,2026-05-15T09:08:13.031405Z
253,51,367,41,4537055,35,2026-05-01T09:18:31.523209Z
749,43,691,56,4537055,34,2026-04-24T05:10:21.281260Z
596,72,430,144,4537055,34,2026-04-24T05:10:21.281067Z
329,60,235,105,4537055,34,2026-04-24T05:10:21.280855Z
299,62,157,61,4537055,34,2026-04-24T05:10:21.280652Z
381,140,84,53,4537055,34,2026-04-24T05:10:21.280430Z
21,72,82,82,4537055,34,2026-04-24T05:10:21.280159Z
683,41,411,51,4537055,34,2026-04-24T05:10:21.279956Z
570,42,347,38,4537055,34,2026-04-24T05:10:21.279748Z
568,51,151,45,4537055,34,2026-04-24T05:10:21.279541Z
373,62,77,42,4537055,34,2026-04-24T05:10:21.279270Z
5,71,72,51,4537055,34,2026-04-24T05:10:21.279057Z
670,48,367,41,4537055,34,2026-04-24T05:10:21.278828Z
1,60,341,39,4537055,34,2026-04-24T05:10:21.278550Z
82,82,21,72,4537055,33,2026-04-17T22:05:19.984762Z
77,42,5,72,4537055,33,2026-04-17T22:05:19.977769Z
691,56,337,62,4537055,32,2026-04-10T08:11:51.881624Z
624,76,136,72,4537055,32,2026-04-10T08:11:51.881333Z
157,61,387,69,4537055,32,2026-04-10T08:11:51.880945Z
235,106,329,56,4537055,32,2026-04-10T08:11:51.880537Z
21,73,299,62,4537055,32,2026-04-10T08:11:51.880175Z
347,38,473,53,4537055,32,2026-04-10T08:11:51.879933Z
72,51,373,61,4537055,32,2026-04-10T08:11:51.879527Z
151,45,317,45,4537055,32,2026-04-10T08:11:51.879160Z
5,72,8,63,4537055,32,2026-04-10T08:11:51.878762Z
341,39,628,42,4537055,32,2026-04-10T08:11:51.878403Z
367,41,101,46,4537055,32,2026-04-10T08:11:51.877953Z
473,53,5,69,4537055,31,2026-03-20T03:44:43.633621Z
84,53,547,49,4537055,30,2026-03-13T21:24:42.482700Z
299,62,21,75,4537055,29,2026-03-03T09:10:00.515403Z
387,68,267,64,4537055,28,2026-02-26T10:56:59.618011Z
267,64,646,53,4537055,27,2026-02-21T03:12:07.870933Z
646,53,387,66,4537055,26,2026-02-10T08:52:50.164449Z
21,75,384,73,4537055,25,2026-02-06T09:57:32.810330Z
449,97,16,99,4537055,25,2026-02-06T09:57:32.809745Z
628,42,470,40,4537055,25,2026-02-06T09:57:32.804238Z
384,73,450,80,4537055,22,2026-01-17T00:41:09.911474Z
387,66,417,66,4537055,22,2026-01-17T00:41:09.910973Z
5,67,725,53,4537055,22,2026-01-17T00:41:09.904503Z
158,56,547,49,4537055,19,2025-12-30T07:03:08.279359Z
473,52,317,45,4537055,19,2025-12-30T07:03:08.279171Z
367,42,470,40,4537055,19,2025-12-30T07:03:08.278979Z
100,46,337,62,4537055,19,2025-12-30T07:03:08.278755Z
387,66,417,66,4537055,19,2025-12-30T07:03:08.278406Z
414,90,16,101,4537055,19,2025-12-30T07:03:08.278186Z
235,104,329,55,4537055,19,2025-12-30T07:03:08.277992Z
7,57,725,55,4537055,19,2025-12-30T07:03:08.277785Z
440,45,373,59,4537055,19,2025-12-30T07:03:08.277544Z
441,42,8,64,4537055,19,2025-12-30T07:03:08.277297Z
366,54,101,45,4537055,19,2025-12-30T07:03:08.276932Z
450,80,449,91,4537055,18,2025-12-26T02:49:34.569924Z
417,65,450,79,4537055,17,2025-12-19T21:35:24.819217Z
8,65,684,50,4537055,17,2025-12-19T21:35:24.810494Z
136,71,178,65,4537055,16,2025-12-13T04:03:15.939611Z
411,52,477,49,4537055,16,2025-12-13T04:03:15.939090Z
725,55,403,58,4537055,16,2025-12-13T04:03:15.938537Z
470,40,674,48,4537055,16,2025-12-13T04:03:15.929665Z
337,62,283,78,4537055,15,2025-12-06T02:00:30.332739Z
178,66,252,42,4537055,15,2025-12-06T02:00:30.332273Z
547,49,517,54,4537055,15,2025-12-06T02:00:30.331832Z
329,52,299,65,4537055,15,2025-12-06T02:00:30.331366Z
450,79,82,77,4537055,15,2025-12-06T02:00:30.330890Z
477,49,260,48,4537055,15,2025-12-06T02:00:30.330341Z
684,50,191,39,4537055,15,2025-12-06T02:00:30.329827Z
403,58,72,50,4537055,15,2025-12-06T02:00:30.329288Z
101,45,470,40,4537055,15,2025-12-06T02:00:30.328762Z
674,48,1,57,4537055,15,2025-12-06T02:00:30.328118Z
299,66,83,60,4537055,14,2025-12-01T03:13:45.910394Z
83,60,237,66,4537055,13,2025-11-28T03:39:32.321873Z
82,81,299,65,4537055,12,2025-11-21T13:01:32.294022Z
72,50,5,64,4537055,12,2025-11-21T13:01:32.287271Z
317,45,568,55,4537055,10,2025-11-01T08:15:19.267372Z
299,65,427,56,4537055,9,2025-10-24T05:00:24.399152Z
16,100,235,103,4537055,9,2025-10-24T05:00:24.392645Z
5,62,508,49,4537055,7,2025-10-02T01:23:02.974474Z
430,143,654,64,4537055,6,2025-09-25T01:14:17.571975Z
427,56,381,145,4537055,6,2025-09-25T01:14:17.565221Z
1,55,220,50,4537055,4,2025-09-04T05:12:35.979607Z
449,90,16,100,4537055,3,2025-08-28T01:25:04.894812Z
283,75,624,80,4537055,2,2025-08-19T08:43:18.980959Z
