first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
David,Raya Martín,0,0,156,3240,26,33.5,539.4,0.0,11,613,57.3,18,0,1,36.4,62,GKP,25.161290322580644
Kepa,Arrizabalaga Revuelta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,GKP,0.0
Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GKP,0.0
Tommy,Setford,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,GKP,0.0
Gabriel,dos Santos Magalhães,3,5,202,2615,19,127.0,806.8,295.0,30,695,122.8,17,0,4,46.1,73,DEF,27.67123287671233
William,Saliba,1,0,129,2524,20,199.2,533.0,90.0,10,554,82.2,14,0,2,17.1,63,DEF,20.476190476190478
Riccardo,Calafiori,1,2,100,1581,8,141.9,270.0,303.0,4,358,71.6,12,0,5,5.9,56,DEF,17.857142857142858
Jurriën,Timber,3,6,149,2452,20,402.6,499.0,352.0,9,532,125.7,13,0,5,15.5,60,DEF,24.833333333333332
Jakub,Kiwior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,DEF,0.0
Myles,Lewis-Skelly,0,0,26,590,7,69.0,68.6,29.0,0,95,16.6,2,0,3,1.9,50,DEF,5.2
Benjamin,White,0,1,45,699,6,133.4,154.8,54.0,3,181,34.3,5,0,0,0.5,51,DEF,8.823529411764707
Brayden,Clarke,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,37,DEF,0.0
Maldini,Kacurri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF,0.0
Josh,Nichols,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,37,DEF,0.0
Bukayo,Saka,7,9,147,2128,16,828.9,602.6,804.0,16,543,223.9,11,0,2,13.0,100,MID,14.7
