h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.15188,1.9263,1.15188,1.9263,"{'att': 384, 'def': 11}","{'att': 181, 'def': 18}",6,6,0,2,0.7252000000000001,l,2024-08-24 16:30:00,0,0,1,0,-0.7744199999999999
h,2.68507,0.832386,2.68507,0.832386,"{'att': 245, 'def': 25}","{'att': 276, 'def': 16}",12,4,3,1,2.6611999999999996,w,2024-08-31 13:30:00,1,0,0,3,1.852684
a,2.86858,1.23249,2.11081,1.23249,"{'att': 280, 'def': 20}","{'att': 213, 'def': 23}",5,5,2,1,2.5173,w,2024-09-14 13:30:00,1,0,0,3,0.8783199999999998
h,2.93252,1.19669,2.93252,1.19669,"{'att': 372, 'def': 13}","{'att': 201, 'def': 18}",9,9,2,0,2.4861,w,2024-09-21 16:30:00,1,0,0,3,1.7358299999999998
a,2.43436,1.02971,2.43436,0.271933,"{'att': 234, 'def': 12}","{'att': 254, 'def': 13}",11,5,4,2,2.3909000000000002,w,2024-09-29 13:30:00,1,0,0,3,2.162427
h,1.49515,2.83119,1.49515,2.83119,"{'att': 394, 'def': 16}","{'att': 210, 'def': 28}",2,24,3,3,0.5676000000000001,d,2024-10-06 15:30:00,0,1,0,1,-1.33604
a,1.55158,4.07146,0.793806,3.31368,"{'att': 293, 'def': 10}","{'att': 297, 'def': 16}",3,15,1,2,0.18969999999999998,l,2024-10-19 13:30:00,0,0,1,0,-2.519874
a,1.54058,1.86305,1.54058,1.86305,"{'att': 242, 'def': 14}","{'att': 309, 'def': 25}",3,5,1,1,1.0613000000000001,d,2024-10-27 16:30:00,0,1,0,1,-0.32247000000000003
h,3.83028,2.08714,3.83028,2.08714,"{'att': 166, 'def': 21}","{'att': 382, 'def': 23}",11,2,7,2,2.4453,w,2024-11-02 14:30:00,1,0,0,3,1.74314
a,1.93894,2.81862,1.93894,2.06085,"{'att': 299, 'def': 24}","{'att': 232, 'def': 23}",2,17,3,2,0.8404,w,2024-11-10 16:30:00,1,0,0,3,-0.12190999999999974
h,1.47057,0.632819,1.47057,0.632819,"{'att': 280, 'def': 22}","{'att': 273, 'def': 23}",13,4,1,0,2.0648,w,2024-11-23 17:30:00,1,0,0,3,0.8377509999999999
a,3.19019,0.861094,3.19019,0.861094,"{'att': 240, 'def': 25}","{'att': 281, 'def': 20}",12,4,4,0,2.7543,w,2024-12-01 16:30:00,1,0,0,3,2.329096
h,1.53465,1.17089,1.53465,1.17089,"{'att': 149, 'def': 33}","{'att': 340, 'def': 22}",9,5,2,2,1.6451,d,2024-12-07 14:30:00,0,1,0,1,0.3637600000000001
a,0.839379,2.4958,0.839379,2.4958,"{'att': 254, 'def': 21}","{'att': 327, 'def': 24}",3,8,1,2,0.3812,l,2024-12-15 18:30:00,0,0,1,0,-1.656421
h,2.58915,0.753285,2.58915,0.753285,"{'att': 111, 'def': 20}","{'att': 197, 'def': 10}",11,2,1,3,2.5361,l,2024-12-21 14:30:00,0,0,1,0,1.835865
a,2.23689,2.5542,2.23689,2.5542,"{'att': 235, 'def': 16}","{'att': 420, 'def': 18}",10,10,1,0,1.1877000000000002,w,2025-01-11 14:30:00,1,0,0,3,-0.31731
h,2.82238,0.587762,2.82238,0.587762,"{'att': 160, 'def': 23}","{'att': 349, 'def': 25}",11,6,4,1,2.7048000000000005,w,2025-01-14 19:30:00,1,0,0,3,2.2346179999999998
h,2.05106,0.57641,2.05106,0.57641,"{'att': 381, 'def': 25}","{'att': 203, 'def': 24}",6,9,2,0,2.4567,w,2025-01-17 19:30:00,1,0,0,3,1.47465
a,2.30325,2.32141,1.54547,2.32141,"{'att': 225, 'def': 14}","{'att': 281, 'def': 22}",12,8,2,2,1.3641,d,2025-01-26 14:30:00,0,1,0,1,-0.7759400000000003
h,1.69604,1.46292,1.69604,1.46292,"{'att': 192, 'def': 13}","{'att': 343, 'def': 22}",3,7,1,1,1.5414,d,2025-02-02 14:30:00,0,1,0,1,0.23312
a,2.5487,0.656491,2.5487,0.656491,"{'att': 305, 'def': 17}","{'att': 280, 'def': 20}",9,6,1,1,2.7165,d,2025-02-08 17:30:00,0,1,0,1,1.8922090000000003
h,3.02527,1.26559,2.2675,1.26559,"{'att': 309, 'def': 25}","{'att': 286, 'def': 11}",6,4,3,1,2.5093,w,2025-02-16 16:30:00,1,0,0,3,1.00191
a,0.49278,4.48699,0.49278,4.48699,"{'att': 461, 'def': 17}","{'att': 285, 'def': 34}",7,19,0,4,0.0186,l,2025-02-23 16:30:00,0,0,1,0,-3.99421
h,1.00046,2.37018,1.00046,2.37018,"{'att': 342, 'def': 36}","{'att': 244, 'def': 17}",4,8,1,4,0.49039999999999995,l,2025-03-01 17:30:00,0,0,1,0,-1.36972
h,2.00811,0.725817,1.25034,0.725817,"{'att': 144, 'def': 9}","{'att': 391, 'def': 15}",11,4,1,2,2.3742,l,2025-03-09 14:30:00,0,0,1,0,0.524523
a,3.29403,1.88062,3.29403,1.88062,"{'att': 223, 'def': 20}","{'att': 254, 'def': 11}",11,9,3,1,2.2382,w,2025-03-16 15:30:00,1,0,0,3,1.4134099999999998
h,3.69196,0.863163,3.69196,0.863163,"{'att': 234, 'def': 25}","{'att': 211, 'def': 23}",13,9,1,0,2.8569,w,2025-03-29 17:30:00,1,0,0,3,2.828797
a,0.515073,1.22711,0.515073,1.22711,"{'att': 171, 'def': 24}","{'att': 356, 'def': 14}",7,1,0,2,0.718,l,2025-04-05 16:30:00,0,0,1,0,-0.7120369999999999
h,3.64515,1.28841,3.64515,1.28841,"{'att': 376, 'def': 17}","{'att': 293, 'def': 18}",13,5,3,0,2.7019,w,2025-04-13 15:30:00,1,0,0,3,2.3567400000000003
a,1.39546,1.14215,1.39546,1.14215,"{'att': 218, 'def': 26}","{'att': 304, 'def': 18}",4,3,0,0,1.5969,d,2025-04-20 13:30:00,0,1,0,1,0.2533099999999999
h,2.23942,0.316263,2.23942,0.316263,"{'att': 360, 'def': 19}","{'att': 281, 'def': 24}",10,5,4,0,2.7333,w,2025-04-26 16:30:00,1,0,0,3,1.923157
a,1.3876,1.64254,1.3876,1.64254,"{'att': 299, 'def': 18}","{'att': 147, 'def': 18}",2,4,1,1,1.1511999999999998,d,2025-05-04 17:30:00,0,1,0,1,-0.25493999999999994
h,1.82027,0.666882,1.82027,0.666882,"{'att': 127, 'def': 16}","{'att': 379, 'def': 19}",15,2,2,2,2.3057,d,2025-05-11 15:30:00,0,1,0,1,1.153388
a,2.61814,1.14001,2.61814,1.14001,"{'att': 197, 'def': 18}","{'att': 148, 'def': 18}",6,6,3,1,2.4753000000000003,w,2025-05-17 13:30:00,1,0,0,3,1.47813
