element_in,element_in_cost,element_out,element_out_cost,entry,event,time
16,100,450,80,714766,37,2026-05-15T13:05:42.422790Z
295,45,440,45,714766,37,2026-05-15T13:05:42.417422Z
151,46,683,41,714766,36,2026-05-09T06:51:31.778516Z
299,62,515,75,714766,36,2026-05-09T06:51:31.773250Z
411,52,373,61,714766,35,2026-05-01T10:35:19.997534Z
706,39,603,41,714766,35,2026-05-01T10:35:19.988206Z
783,55,169,49,714766,33,2026-04-18T09:51:07.801589Z
736,56,341,39,714766,33,2026-04-18T09:50:22.071860Z
343,43,72,51,714766,33,2026-04-18T09:50:22.071628Z
90,50,82,77,714766,33,2026-04-18T09:50:22.071312Z
237,65,90,50,714766,33,2026-04-18T09:46:48.724356Z
342,44,706,39,714766,33,2026-04-18T09:46:48.723977Z
691,56,136,67,714766,33,2026-04-10T18:44:48.321125Z
249,78,624,76,714766,33,2026-04-10T18:44:48.320755Z
169,49,242,51,714766,33,2026-04-10T18:44:48.320419Z
90,50,450,80,714766,33,2026-04-10T18:44:48.320052Z
235,106,515,74,714766,33,2026-04-10T18:44:48.319704Z
84,54,449,98,714766,33,2026-04-10T18:44:48.319397Z
192,40,683,41,714766,33,2026-04-10T18:44:48.319072Z
151,45,603,41,714766,33,2026-04-10T18:44:48.318759Z
706,39,373,61,714766,33,2026-04-10T18:44:48.318461Z
72,51,440,46,714766,33,2026-04-10T18:44:48.318141Z
411,50,5,68,714766,33,2026-04-10T18:44:48.317789Z
139,45,1,60,714766,33,2026-04-10T18:44:48.317409Z
624,76,661,91,714766,32,2026-04-07T12:12:06.988369Z
430,144,249,78,714766,32,2026-04-07T12:12:06.988168Z
242,51,329,60,714766,32,2026-04-07T12:12:06.987976Z
515,74,303,52,714766,32,2026-04-07T12:12:06.987779Z
450,80,119,85,714766,32,2026-04-07T12:12:06.987565Z
683,41,348,39,714766,32,2026-04-07T12:12:06.987307Z
603,41,317,46,714766,32,2026-04-07T12:12:06.987107Z
440,46,262,40,714766,32,2026-04-07T12:12:06.986904Z
341,39,470,40,714766,32,2026-04-07T12:12:06.986686Z
1,60,139,44,714766,32,2026-04-07T12:12:06.986366Z
249,78,430,142,714766,31,2026-03-20T15:46:38.313835Z
317,46,8,61,714766,31,2026-03-20T15:46:38.307364Z
329,59,21,74,714766,28,2026-02-27T11:06:57.563127Z
373,60,694,44,714766,28,2026-02-27T11:06:57.554891Z
119,85,160,57,714766,25,2026-02-06T15:40:02.368346Z
262,40,575,45,714766,25,2026-02-06T15:40:02.367870Z
348,39,373,59,714766,25,2026-02-06T15:40:02.362565Z
449,94,414,83,714766,24,2026-01-25T20:39:22.799896Z
21,73,450,80,714766,22,2026-01-17T09:46:37.098999Z
303,51,21,71,714766,20,2026-01-03T09:42:20.961435Z
575,45,113,45,714766,20,2026-01-03T09:42:20.960951Z
5,65,411,52,714766,20,2026-01-03T09:42:20.954110Z
661,89,100,46,714766,18,2025-12-24T22:12:28.527881Z
21,72,16,101,714766,18,2025-12-24T22:12:28.527371Z
450,80,449,91,714766,18,2025-12-24T22:12:28.526851Z
373,59,725,54,714766,18,2025-12-24T22:12:28.521013Z
411,52,256,58,714766,16,2025-12-11T22:01:19.777283Z
725,54,7,57,714766,16,2025-12-11T21:58:01.314500Z
694,42,347,39,714766,15,2025-12-05T08:48:30.056045Z
139,44,67,45,714766,15,2025-12-05T08:48:30.049127Z
414,81,237,67,714766,14,2025-12-02T11:59:41.995135Z
113,45,224,61,714766,13,2025-11-29T09:54:03.202203Z
449,89,427,55,714766,11,2025-11-02T15:56:21.709019Z
136,61,249,75,714766,10,2025-10-26T21:10:42.673880Z
100,46,691,55,714766,10,2025-10-26T21:10:42.668119Z
691,55,654,64,714766,8,2025-10-18T08:42:33.342844Z
654,64,252,43,714766,8,2025-10-17T11:13:24.957177Z
160,60,582,67,714766,8,2025-10-17T11:13:24.956680Z
16,99,449,90,714766,8,2025-10-17T11:13:24.956230Z
237,67,384,75,714766,8,2025-10-17T11:13:24.955716Z
256,56,603,44,714766,8,2025-10-17T11:13:24.955225Z
224,61,568,55,714766,8,2025-10-17T11:13:24.954761Z
8,59,291,55,714766,8,2025-10-17T11:13:24.954305Z
347,40,191,40,714766,8,2025-10-17T11:13:24.953828Z
67,45,220,49,714766,8,2025-10-17T11:13:24.953276Z
7,57,505,54,714766,7,2025-10-03T09:37:14.660538Z
249,78,525,75,714766,6,2025-09-24T17:43:20.432629Z
291,55,151,45,714766,6,2025-09-21T17:32:15.942049Z
72,46,694,40,714766,4,2025-09-13T05:23:56.636364Z
474,55,5,61,714766,4,2025-09-13T05:22:49.951707Z
242,50,84,55,714766,4,2025-09-12T17:13:41.185379Z
18,70,21,65,714766,4,2025-09-12T17:13:41.185104Z
21,65,384,76,714766,4,2025-09-10T22:45:06.683830Z
84,55,335,45,714766,4,2025-09-10T22:45:06.683442Z
283,75,252,44,714766,4,2025-09-09T11:36:25.664469Z
100,45,525,76,714766,4,2025-09-09T11:36:25.664030Z
335,45,427,56,714766,4,2025-09-09T11:36:25.663576Z
419,67,582,66,714766,4,2025-09-09T11:36:25.663105Z
381,145,449,90,714766,4,2025-09-09T11:36:25.662649Z
317,45,151,45,714766,4,2025-09-09T11:36:25.662147Z
256,55,603,45,714766,4,2025-09-09T11:36:25.661688Z
694,40,505,55,714766,4,2025-09-09T11:36:25.661190Z
5,61,568,55,714766,4,2025-09-09T11:36:25.660836Z
1,55,220,50,714766,4,2025-09-09T11:36:25.660479Z
582,66,382,84,714766,3,2025-08-29T13:44:47.235600Z
