event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,55,55,4223904,4525933,4223898,45,25,1000,0,0,19
2,41,96,8357098,8423676,6409688,80,14,1000,1,0,7
3,56,152,2587151,2677064,4530060,25,14,1001,0,0,7
4,70,222,3536852,3642912,3603543,35,6,1000,0,0,23
5,49,271,3063933,3211025,2962234,30,6,1007,0,0,14
6,73,344,801440,822526,1474173,10,14,1009,2,0,8
7,65,409,4820034,4924391,1662912,45,14,1012,0,0,9
8,84,493,349053,365218,847005,5,14,1018,0,0,11
9,64,557,1189140,1204103,443978,10,2,1021,2,0,10
10,79,636,1814188,1890608,358625,15,2,1027,0,0,14
11,42,678,4058517,4241705,343649,35,2,1033,0,0,14
12,66,744,280959,288226,110588,5,7,1030,1,0,15
13,70,814,120542,120950,24249,1,1,1026,3,0,12
14,85,899,442848,471794,10124,5,1,1031,0,0,5
15,61,960,2285359,2297056,7528,20,8,1034,3,0,6
16,81,1041,1086814,1095270,6495,10,5,1039,2,0,6
17,98,1139,484696,489380,2435,5,0,1044,4,0,0
18,41,1180,7474955,7654673,3890,60,0,1050,0,0,20
19,32,1212,10371288,10402004,7129,85,2,1049,2,0,9
20,47,1259,4193489,4348490,10121,35,2,1047,0,0,6
21,64,1323,1495724,1524397,6672,15,19,1043,2,0,16
22,36,1359,8254680,8457791,9340,65,19,1042,0,0,25
23,44,1403,6294416,6357656,8309,50,25,1041,1,0,19
24,73,1476,963399,983920,5371,10,0,1042,2,0,8
25,77,1553,830358,892689,3884,10,0,1046,0,0,7
26,69,1622,3090644,3120165,4039,25,0,1044,2,0,5
27,45,1667,6188421,6423463,4667,50,0,1048,0,0,5
28,76,1743,1329512,1352879,4470,15,0,1047,2,0,1
29,77,1820,1257282,1276598,2135,10,1,1049,1,0,14
30,75,1895,43272,46757,783,1,1,1052,0,0,19
31,61,1956,1387566,1412459,758,15,1,1051,2,0,0
32,60,2016,2226844,2257515,763,20,0,1051,1,0,8
33,96,2112,1298048,1337807,2191,15,0,1049,0,0,14
34,61,2173,905134,910511,2080,10,14,1048,1,0,0
35,55,2228,4551058,4756298,2100,40,7,1047,0,0,5
36,86,2314,1811810,1879102,1698,15,7,1056,0,0,21
37,44,2358,1263403,1271963,664,10,24,1055,2,0,0
