element,position,multiplier,player_name
1,1,1,David Raya Martín
610,2,1,Aaron Wan-Bissaka
5,3,1,Gabriel dos Santos Magalhães
568,4,1,Pedro Porro Sauceda
16,5,1,Bukayo Saka
450,6,1,Matheus Santos Carneiro da Cunha
582,7,1,Mohammed Kudus
491,8,1,Sandro Tonali
249,9,2,João Pedro Junqueira de Jesus
596,10,1,Dominic Solanke-Mitchell
430,11,1,Erling Haaland
470,12,0,Martin Dúbravka
419,13,0,Jack Grealish
478,14,0,Kieran Trippier
43,15,0,Álex Moreno Lopera
