event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,54,54,4551060,4771080,4551053,50,0,1000,0,0,4
2,59,113,2894935,2956339,2933071,30,0,999,1,0,6
3,48,157,5613716,5667442,3771429,50,20,1000,2,4,3
4,72,229,3072058,3122031,2793307,30,26,999,1,0,7
5,43,272,5562398,5695505,2901024,50,26,999,0,0,1
6,69,341,1353824,1373918,1687259,15,13,998,2,0,-1
7,80,421,1123364,1169480,1094918,10,13,1000,0,0,4
8,71,492,1939427,1974342,902098,20,9,1005,1,0,15
9,42,534,7228809,7339318,1139002,60,9,1005,0,0,11
10,84,618,947131,972032,772880,10,7,1002,1,0,10
11,44,662,3549318,3580711,693989,30,16,1002,2,0,11
12,51,713,1983767,2016649,498388,20,17,1002,1,0,5
13,77,790,21292,24744,103950,1,17,1002,0,0,0
14,65,855,4699745,4801889,132954,40,17,1002,0,0,6
15,62,917,2062044,2070451,96985,20,3,1002,3,0,6
16,75,992,2055554,2066077,101973,20,0,1000,2,0,4
17,116,1108,20029,20834,17794,1,7,1004,2,0,4
18,48,1156,4308221,4424753,17218,35,3,1012,0,0,16
19,48,1204,2777665,2882663,11333,25,3,1016,0,0,0
20,52,1256,2699428,2788723,11969,25,3,1018,0,0,3
21,49,1305,6339368,6374384,18054,50,23,1016,1,0,6
22,37,1342,8204376,8222105,23166,65,6,1015,3,0,9
23,34,1376,10620374,10654671,34624,85,0,1017,1,0,4
24,83,1459,147399,151370,13716,5,8,1015,2,0,4
25,77,1536,830358,877765,9942,10,8,1023,0,0,5
26,83,1619,481947,505347,4683,5,8,1025,0,0,7
27,55,1674,2432424,2458627,3094,20,6,1025,1,0,10
28,91,1765,131024,133578,1281,5,20,1022,3,0,4
29,57,1822,5527230,5626236,1907,45,20,1028,0,0,2
30,52,1874,2891964,2930196,2600,25,11,1031,1,0,12
31,76,1950,63854,65059,1058,1,10,1032,1,0,2
32,72,2022,413720,422292,530,5,25,1032,1,0,14
33,99,2121,1092029,1115527,1342,10,25,1032,0,0,24
34,51,2172,2364171,2374079,2160,20,25,1033,1,0,0
35,57,2229,3783510,3925676,1969,30,16,1030,0,0,6
36,68,2297,6152810,6240007,3867,50,16,1038,0,0,13
37,58,2355,258512,258778,798,5,6,1035,4,0,0
