season_name,total_points,rank
2014/15,1504,2542059
2016/17,1848,1507892
2017/18,2059,737819
2018/19,2107,790319
2019/20,2242,154628
2020/21,2370,144202
2021/22,2385,351610
2022/23,2516,126856
2023/24,2420,281687
2024/25,2257,2051490
