element_in,element_in_cost,element_out,element_out_cost,entry,event,time
666,89,249,75,2375309,36,2026-05-09T09:50:44.930413Z
21,72,235,103,2375309,36,2026-05-09T09:50:44.930116Z
5,72,224,60,2375309,36,2026-05-09T09:50:44.929743Z
257,52,72,51,2375309,36,2026-05-09T09:50:44.924558Z
252,40,749,43,2375309,34,2026-04-24T15:46:59.479757Z
382,83,450,80,2375309,34,2026-04-24T15:46:59.479481Z
603,41,606,45,2375309,34,2026-04-24T15:45:44.427265Z
568,51,575,44,2375309,34,2026-04-24T15:45:44.427045Z
749,43,691,56,2375309,34,2026-04-24T15:43:53.300067Z
596,72,430,144,2375309,34,2026-04-24T15:43:53.299864Z
624,77,249,76,2375309,34,2026-04-24T15:43:53.299587Z
381,140,783,55,2375309,34,2026-04-24T15:43:53.299390Z
21,72,235,105,2375309,34,2026-04-24T15:43:53.299193Z
450,80,84,54,2375309,34,2026-04-24T15:43:53.298983Z
515,75,82,82,2375309,34,2026-04-24T15:43:53.298769Z
575,44,411,50,2375309,34,2026-04-24T15:43:53.298531Z
447,37,224,60,2375309,34,2026-04-24T15:43:53.298331Z
5,71,151,45,2375309,34,2026-04-24T15:43:53.298124Z
606,45,77,42,2375309,34,2026-04-24T15:43:53.297880Z
373,62,72,51,2375309,34,2026-04-24T15:43:53.297539Z
567,39,341,39,2375309,34,2026-04-24T15:43:53.297158Z
1,60,139,45,2375309,34,2026-04-24T15:43:53.296757Z
691,56,661,91,2375309,32,2026-04-10T14:39:55.539216Z
430,144,136,70,2375309,32,2026-04-10T14:39:55.538940Z
235,106,381,140,2375309,32,2026-04-10T14:39:55.538675Z
84,54,329,58,2375309,32,2026-04-10T14:39:55.538393Z
82,82,242,50,2375309,32,2026-04-10T14:39:55.538119Z
783,55,119,84,2375309,32,2026-04-10T14:39:55.537840Z
77,42,348,39,2375309,32,2026-04-10T14:39:55.537560Z
72,51,317,46,2375309,32,2026-04-10T14:39:55.537260Z
411,50,260,48,2375309,32,2026-04-10T14:39:55.536975Z
151,45,8,60,2375309,32,2026-04-10T14:39:55.536705Z
224,60,5,70,2375309,32,2026-04-10T14:39:55.536412Z
341,39,470,40,2375309,32,2026-04-10T14:39:55.536121Z
139,45,101,47,2375309,32,2026-04-10T14:39:55.535756Z
348,39,441,41,2375309,31,2026-03-19T23:51:52.431272Z
249,77,430,143,2375309,30,2026-03-13T23:43:28.934155Z
381,140,21,74,2375309,30,2026-03-13T23:43:28.926550Z
661,89,749,45,2375309,28,2026-02-27T14:51:57.433189Z
242,50,237,67,2375309,28,2026-02-27T14:51:57.427189Z
101,46,139,44,2375309,27,2026-02-20T14:48:53.608649Z
21,75,16,100,2375309,25,2026-02-04T22:13:00.054406Z
749,45,337,62,2375309,24,2026-01-30T22:35:30.601664Z
119,83,84,54,2375309,24,2026-01-30T22:35:30.593467Z
237,66,485,74,2375309,24,2026-01-26T00:02:43.194980Z
449,93,414,83,2375309,23,2026-01-24T10:55:38.559252Z
84,55,450,80,2375309,22,2026-01-17T01:33:01.309967Z
5,68,295,47,2375309,22,2026-01-17T01:33:01.303573Z
485,74,82,75,2375309,20,2026-01-03T05:18:10.628994Z
441,41,191,39,2375309,19,2025-12-29T19:37:14.471075Z
450,80,449,90,2375309,18,2025-12-26T13:56:19.574748Z
329,56,83,60,2375309,17,2025-12-19T17:29:26.636045Z
337,63,714,74,2375309,16,2025-12-13T12:52:33.654588Z
16,102,623,44,2375309,16,2025-12-13T12:52:33.654112Z
83,61,119,81,2375309,16,2025-12-13T12:52:33.653660Z
295,46,684,49,2375309,16,2025-12-13T12:52:33.653138Z
317,46,256,60,2375309,16,2025-12-13T12:52:33.647065Z
136,68,283,79,2375309,15,2025-12-06T10:15:51.129069Z
714,74,178,64,2375309,14,2025-12-02T16:19:10.698470Z
623,44,332,50,2375309,14,2025-12-02T16:19:10.698227Z
449,89,237,67,2375309,14,2025-12-02T16:19:10.697959Z
191,39,610,42,2375309,14,2025-12-02T16:19:10.697670Z
256,60,373,59,2375309,14,2025-12-02T16:19:10.697428Z
684,49,38,44,2375309,14,2025-12-02T16:19:10.697179Z
470,40,101,45,2375309,14,2025-12-02T16:19:10.696865Z
139,44,1,57,2375309,14,2025-12-02T16:19:10.696568Z
252,42,283,79,2375309,13,2025-11-29T12:30:36.663639Z
136,66,178,64,2375309,13,2025-11-29T12:30:36.663401Z
384,75,332,50,2375309,13,2025-11-29T12:30:36.663160Z
381,142,237,67,2375309,13,2025-11-29T12:30:36.662918Z
120,70,119,83,2375309,13,2025-11-29T12:30:36.662652Z
