name,time,event
wildcard,2025-09-20T21:35:26.646511Z,6
bboost,2025-10-03T20:24:26.462004Z,8
freehit,2025-11-26T22:26:59.931764Z,13
3xc,2025-12-14T09:59:49.656413Z,17
3xc,2026-02-09T19:35:50.111231Z,26
wildcard,2026-04-09T21:06:21.964838Z,32
bboost,2026-04-11T09:35:07.830330Z,33
freehit,2026-04-18T11:36:51.636131Z,34
